sub_category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio
"Banks, Credit Card Companies, Mortgage Providers",3.0,4523.0,0.0006632765863365023,3.0,1387.550034403801,0.002162084195608148
Buildings (Residential or Commercial),15.0,4523.0,0.0033163829316825116,1.006851,1387.550034403801,0.0007256322114774197
"Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)",1.0,4523.0,0.00022109219544550078,1.5e-05,1387.550034403801,1.081042097804074e-08
Chemical and Pharmaceutical Manufacturing,1.0,4523.0,0.00022109219544550078,1.5e-05,1387.550034403801,1.081042097804074e-08
"Civil Engineering Construction (Utility Lines, Roads and Bridges)",6.0,45359.0,0.0001322780484578584,0.0,93.73252504844292,0.0
"Colleges, Universities, and Professional Schools",7.0,49882.0,0.000140331181588549,2.000015,1481.282559452244,0.001350191418401345
Computer and Network Security,1609.0,49882.0,0.03225612445371076,0.019948,1481.282559452244,1.3466708206823465e-05
Electronics and Computer Components,2.0,4523.0,0.00044218439089100157,1.000015,1387.550034403801,0.0007207055422903607
Elementary and Secondary Schools,1.0,4523.0,0.00022109219544550078,1.0,1387.550034403801,0.0007206947318693826
"Government and Regulatory Agencies, Administrations, Departments, and Services",5.0,45359.0,0.00011023170704821535,0.0,93.73252504844292,0.0
Hosting and Cloud Provider,16287.0,49882.0,0.32651056493324243,14.346557,1481.282559452244,0.009685226433304623
"Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)",4.0,45359.0,8.818536563857227e-05,0.0,93.73252504844292,0.0
Insurance Carriers and Agencies,1.0,4523.0,0.00022109219544550078,1.5e-05,1387.550034403801,1.081042097804074e-08
Internet Service Provider (ISP),6265.0,49882.0,0.12559640752175133,218.736332,1481.282559452244,0.14766685167810617
"Investment, Portfolio Management, Pensions and Funds",17.0,49882.0,0.00034080429814361895,15.000015,1481.282559452244,0.010126369816672101
"Law Enforcement, Public Safety, and Justice",3.0,45359.0,6.61390242289292e-05,0.0,93.73252504844292,0.0
"Law, Business, and Consulting Services",133.0,49882.0,0.0026662924501824306,1004.0002589999999,1481.282559452244,0.677791183453388
"Metal, Glass, Wood, and Paper Manufacturing",3.0,4523.0,0.0006632765863365023,3.0,1387.550034403801,0.002162084195608148
"Military, Defense, National Security, and International Affairs",36.0,45359.0,0.0007936682907471505,3.1e-05,93.73252504844292,3.307283142535481e-07
None,9092.0,49882.0,0.18227015757186962,174.19515,1481.282559452244,0.11759751634719494
Online Informational Content,18.0,49882.0,0.00036085160979912594,0.008027,1481.282559452244,5.418952615609181e-06
Online Music and Video Streaming Services,12731.0,49882.0,0.25522232468625955,0.043189,1481.282559452244,2.915648991099351e-05
Other,97.0,49882.0,0.0019445892305841787,7.177718000000001,1481.282559452244,0.004845610281575322
"Other Schools, Instruction, and Exam Preparation (Trade Schools, Art Schools, Driving Instruction, etc.)",13.0,4523.0,0.00287419854079151,0.006836,1387.550034403801,4.9266691870591e-06
Phone Provider,11.0,45359.0,0.00024250975550607376,10.0,93.73252504844292,0.10668655298501552
Real Estate (Residential and/or Commercial),3.0,4523.0,0.0006632765863365023,4.6e-05,1387.550034403801,3.31519576659916e-08
"Recreation, Sports, and Performing Arts",6.0,45359.0,0.0001322780484578584,0.0,93.73252504844292,0.0
Software Development,3512.0,49882.0,0.07040615853414058,26.741516,1481.282559452244,0.01805294731201629
