sub_category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio
"Banks, Credit Card Companies, Mortgage Providers",3.0,4518.0,0.0006640106241699867,3.0,1381.6280983686447,0.0021713513235162526
Buildings (Residential or Commercial),15.0,4518.0,0.0033200531208499337,1.006851,1381.6280983686447,0.0007287424171445541
Chemical and Pharmaceutical Manufacturing,1.0,4518.0,0.0002213368747233289,1.5e-05,1381.6280983686447,1.0856756617581263e-08
"Civil Engineering Construction (Utility Lines, Roads and Bridges)",6.0,26765.0,0.00022417336073229965,0.0,89.332344180658,0.0
"Colleges, Universities, and Professional Schools",16.0,31283.0,0.0005114598983473452,2.000008,1470.9604425493028,0.0013596613084535512
Computer and Network Security,1597.0,31283.0,0.051050091103794396,0.019902000000000003,1470.9604425493028,1.352993556067905e-05
Electronics and Computer Components,1.0,4518.0,0.0002213368747233289,1.5e-05,1381.6280983686447,1.0856756617581263e-08
Elementary and Secondary Schools,1.0,4518.0,0.0002213368747233289,1.0,1381.6280983686447,0.0007237837745054176
"Government and Regulatory Agencies, Administrations, Departments, and Services",5.0,26765.0,0.00018681113394358303,0.0,89.332344180658,0.0
Hosting and Cloud Provider,7846.0,31283.0,0.2508071476520794,14.344744,1470.9604425493028,0.009751957690404853
"Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)",4.0,26765.0,0.00014944890715486644,0.0,89.332344180658,0.0
Internet Service Provider (ISP),5469.0,31283.0,0.17482338650385193,212.65749899999997,1470.9604425493028,0.14457050838936633
"Investment, Portfolio Management, Pensions and Funds",17.0,31283.0,0.0005434261419940543,15.000015,1470.9604425493028,0.010197429221144564
"Law Enforcement, Public Safety, and Justice",3.0,26765.0,0.00011208668036614982,0.0,89.332344180658,0.0
"Law, Business, and Consulting Services",133.0,31283.0,0.004251510405012307,1004.0002589999999,1470.9604425493028,0.6825474227301312
"Metal, Glass, Wood, and Paper Manufacturing",2.0,31283.0,6.393248729341815e-05,1.0,1470.9604425493028,0.000679827934915036
"Military, Defense, National Security, and International Affairs",37.0,26765.0,0.0013824023911825146,1.5e-05,89.332344180658,1.6791230698777253e-07
None,2790.0,31283.0,0.08918581977431832,171.25446600000004,1470.9604425493028,0.11642356996575727
Online Informational Content,20.0,31283.0,0.0006393248729341815,0.007956999999999999,1470.9604425493028,5.409390878118941e-06
Online Music and Video Streaming Services,9796.0,31283.0,0.3131413227631621,0.043184,1470.9604425493028,2.9357689541370915e-05
Other,99.0,31283.0,0.0031646581210241984,8.177718000000002,1470.9604425493028,0.00555944114025752
"Other Schools, Instruction, and Exam Preparation (Trade Schools, Art Schools, Driving Instruction, etc.)",13.0,4518.0,0.002877379371403276,0.006836,1381.6280983686447,4.947785882519034e-06
Phone Provider,168.0,26765.0,0.00627685410050439,9.672119,89.332344180658,0.10827118765001784
Real Estate (Residential and/or Commercial),3.0,4518.0,0.0006640106241699867,4.6e-05,1381.6280983686447,3.3294053627249206e-08
"Recreation, Sports, and Performing Arts",6.0,26765.0,0.00022417336073229965,0.0,89.332344180658,0.0
Software Development,3232.0,31283.0,0.10331489946616373,27.768779000000002,1470.9604425493028,0.01887799168268202
