sub_category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio
"Banks, Credit Card Companies, Mortgage Providers",3.0,4384.0,0.0006843065693430657,3.0,1391.5470128655434,0.0021558739821676953
Buildings (Residential or Commercial),16.0,4384.0,0.0036496350364963502,2.006851,1391.5470128655434,0.0014421726189957405
"Civil Engineering Construction (Utility Lines, Roads and Bridges)",5.0,37595.0,0.0001329964090969544,0.0,20.022754284862607,0.0
"Colleges, Universities, and Professional Schools",6.0,41979.0,0.0001429286071607232,1.0,1411.569767150406,0.0007084311546419283
Computer and Network Security,1491.0,41979.0,0.03551775887943972,0.018618,1411.569767150406,1.318957123712342e-05
Electronics and Computer Components,2.0,4384.0,0.0004562043795620438,1.000015,1391.5470128655434,0.0007186354400924759
Elementary and Secondary Schools,1.0,4384.0,0.0002281021897810219,1.0,1391.5470128655434,0.000718624660722565
"Government and Regulatory Agencies, Administrations, Departments, and Services",5.0,37595.0,0.0001329964090969544,0.0,20.022754284862607,0.0
Hosting and Cloud Provider,3546.0,41979.0,0.08447080683198742,13.348296000000001,1411.569767150406,0.009456348747782234
"Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)",4.0,37595.0,0.00010639712727756351,0.0,20.022754284862607,0.0
Internet Service Provider (ISP),5067.0,41979.0,0.12070320874723076,203.104837,1411.569767150406,0.14388579418927064
"Investment, Portfolio Management, Pensions and Funds",17.0,41979.0,0.00040496438695538246,15.000015,1411.569767150406,0.010626477946096244
"Law Enforcement, Public Safety, and Justice",3.0,37595.0,7.979784545817262e-05,0.0,20.022754284862607,0.0
"Law, Business, and Consulting Services",137.0,41979.0,0.003263536530169847,1004.000275,1411.569767150406,0.7112650740790635
"Metal, Glass, Wood, and Paper Manufacturing",3.0,4384.0,0.0006843065693430657,3.0,1391.5470128655434,0.0021558739821676953
"Military, Defense, National Security, and International Affairs",35.0,37595.0,0.0009309748636786807,0.0,20.022754284862607,0.0
None,3075.0,41979.0,0.07325091116987065,129.15593200000004,1411.569767150406,0.09149808603561439
Online Informational Content,8.0,41979.0,0.00019057147621429763,0.007859,1411.569767150406,5.567560444330914e-06
Online Music and Video Streaming Services,23058.0,41979.0,0.5492746373186593,0.039164,1411.569767150406,2.7744997740396478e-05
Other,2168.0,41979.0,0.05164487005407466,5.1736900000000015,1411.569767150406,0.003665203180459399
"Other Schools, Instruction, and Exam Preparation (Trade Schools, Art Schools, Driving Instruction, etc.)",13.0,4384.0,0.0029653284671532845,0.006836,1391.5470128655434,4.912518180699455e-06
Phone Provider,11.0,37595.0,0.00029259210001329966,2.0,20.022754284862607,0.0998863578679592
Real Estate (Residential and/or Commercial),3.0,4384.0,0.0006843065693430657,4.6e-05,1391.5470128655434,3.3056734393237995e-08
"Recreation, Sports, and Performing Arts",6.0,37595.0,0.00015959569091634525,0.0,20.022754284862607,0.0
Software Development,3296.0,41979.0,0.07851544820029062,28.707327,1411.569767150406,0.020337164813293403
