org_name,as,number of aliased prefix,ratio of aliased prefix,country,category,sub_category
Akamai International B.V.,"[20940, 21342]",14221,0.37234,NL,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
Google LLC,"[396982, 36492, 15169]",10756,0.28161,US,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
Phan Nhat Nghi,[199925],1999,0.05234,VG,Construction and Real Estate,Other
"Facebook, Inc.",[32934],1772,0.04639,US,"Retail Stores, Wholesale, and E-commerce Sites",None
"Cloudflare, Inc.","[13335, 395747]",963,0.02521,US,Computer and Information Technology,Hosting and Cloud Provider
Hostinger International Limited,[47583],928,0.0243,CY,Computer and Information Technology,Software Development
"Amazon.com, Inc.",[16509],878,0.02299,US,Computer and Information Technology,Hosting and Cloud Provider
"The Constant Company, LLC",[20473],766,0.02006,US,Computer and Information Technology,Internet Service Provider (ISP)
Hurricane Electric LLC,[6939],604,0.01581,US,Computer and Information Technology,Internet Service Provider (ISP)
ScaleUp Technologies GmbH & Co. KG,[29014],328,0.00859,DE,Computer and Information Technology,None
wilhelm.tel GmbH,[15943],260,0.00681,DE,Computer and Information Technology,Internet Service Provider (ISP)
M247 Europe SRL,[9009],249,0.00652,RO,Computer and Information Technology,Internet Service Provider (ISP)
Incapsula Inc,[19551],225,0.00589,US,Computer and Information Technology,Computer and Network Security
Combell NV,[34762],206,0.00539,BE,Computer and Information Technology,Software Development
Claro NXT Telecomunicacoes Ltda,[28573],199,0.00521,BR,Computer and Information Technology,Internet Service Provider (ISP)
I-SERVERS LTD,[209641],196,0.00513,GB,Education and Research,None
UK-2 Limited,[13213],174,0.00456,GB,Computer and Information Technology,Hosting and Cloud Provider
Deutsche Glasfaser Wholesale GmbH,[60294],149,0.0039,DE,Computer and Information Technology,Internet Service Provider (ISP)
"Akamai Technologies, Inc.","[36183, 63949, 16625]",126,0.0033,US,Computer and Information Technology,Computer and Network Security
Rumahweb,[58487],124,0.00325,ID,Computer and Information Technology,Internet Service Provider (ISP)
AEZA INTERNATIONAL LTD,[210644],122,0.00319,GB,None,None
Telefonica Germany GmbH & Co.OHG,[6805],98,0.00257,DE,Computer and Information Technology,Internet Service Provider (ISP)
TELECOM ITALIA SPARKLE S.p.A.,[6762],91,0.00238,IT,Computer and Information Technology,Internet Service Provider (ISP)
"Leaseweb USA, Inc.",[30633],84,0.0022,US,Computer and Information Technology,Internet Service Provider (ISP)
Arelion Sweden AB,[1299],72,0.00189,SE,Computer and Information Technology,Internet Service Provider (ISP)
Bharti Airtel Limited,"[45609, 9498]",70,0.00183,IN,Computer and Information Technology,Internet Service Provider (ISP)
Black Mesa Corporation,[46997],68,0.00178,US,Health Care Services,Other
NetCologne Gesellschaft fur Telekommunikation mbH,[8422],61,0.0016,DE,Computer and Information Technology,Internet Service Provider (ISP)
Reliance Jio Infocomm Limited,[55836],60,0.00157,IN,Computer and Information Technology,Internet Service Provider (ISP)
"Comcast Cable Communications, LLC",[7922],58,0.00152,US,Computer and Information Technology,Internet Service Provider (ISP)
RETN Limited,[9002],53,0.00139,GB,Computer and Information Technology,Internet Service Provider (ISP)
PT XL Axiata Tbk,[24203],51,0.00134,ID,Computer and Information Technology,Internet Service Provider (ISP)
Delta Ltd,[213220],50,0.00131,RU,Computer and Information Technology,Internet Service Provider (ISP)
PrivateSystems Networks,[63410],48,0.00126,US,Computer and Information Technology,Internet Service Provider (ISP)
LeaseWeb Netherlands B.V.,[60781],47,0.00123,NL,Computer and Information Technology,None
Bouygues Telecom SA,[5410],47,0.00123,FR,Computer and Information Technology,Internet Service Provider (ISP)
InnoGames GmbH,[208058],41,0.00107,DE,"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",None
Telstra Corporation Limited,[1221],40,0.00105,AU,Service,"Law, Business, and Consulting Services"
CHINA UNICOM Industrial Internet Backbone,"[4837, 9929]",39,0.00102,CN,Computer and Information Technology,Internet Service Provider (ISP)
Datacamp Limited,"[212238, 60068]",37,0.00097,GB,Computer and Information Technology,Internet Service Provider (ISP)
Latitude.sh LTDA,[262287],35,0.00092,BR,Computer and Information Technology,Hosting and Cloud Provider
"IT business solutions, MB",[205227],35,0.00092,LT,Computer and Information Technology,Hosting and Cloud Provider
Republican Unitary Telecommunication Enterprise Beltelecom,[6697],33,0.00086,BY,Computer and Information Technology,Internet Service Provider (ISP)
Triple T Broadband Public Company Limited,[45758],32,0.00084,TH,Computer and Information Technology,Internet Service Provider (ISP)
One New Zealand Group Limited,[9500],31,0.00081,NZ,Computer and Information Technology,Internet Service Provider (ISP)
Latitude.sh,[396356],31,0.00081,US,Computer and Information Technology,Internet Service Provider (ISP)
Rogers Communications Canada Inc.,[812],31,0.00081,CA,Computer and Information Technology,Internet Service Provider (ISP)
GTS Telecom SRL,[5606],30,0.00079,RO,Computer and Information Technology,Internet Service Provider (ISP)
China Mobile Communications Corporation,"[56040, 56046, 56041]",28,0.0007300000000000001,CN,Computer and Information Technology,Internet Service Provider (ISP)
"trafficforce, UAB","[212144, 133944, 201341]",26,0.00069,LT,Computer and Information Technology,Software Development
