as,number of aliased prefix,ratio of aliased prefix,org_name,country,category,sub_category
20940,14253,0.33208,Akamai International B.V.,NL,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
396982,8861,0.20645,Google LLC,US,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
212144,3709,0.08641,"trafficforce, UAB",LT,Computer and Information Technology,Software Development
199925,2004,0.04669,Phan Nhat Nghi,VG,Construction and Real Estate,Other
32934,1834,0.04273,"Facebook, Inc.",US,"Retail Stores, Wholesale, and E-commerce Sites",None
36492,1638,0.03816,Google LLC,US,Computer and Information Technology,Software Development
13335,956,0.02227,"Cloudflare, Inc.",US,Computer and Information Technology,Hosting and Cloud Provider
47583,940,0.0219,Hostinger International Limited,CY,Computer and Information Technology,Software Development
16509,862,0.02008,"Amazon.com, Inc.",US,Computer and Information Technology,Hosting and Cloud Provider
20473,773,0.01801,"The Constant Company, LLC",US,Computer and Information Technology,Internet Service Provider (ISP)
6939,653,0.01521,Hurricane Electric LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
29014,334,0.00778,ScaleUp Technologies GmbH & Co. KG,DE,Computer and Information Technology,None
15943,310,0.00722,wilhelm.tel GmbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
28573,302,0.00704,Claro NXT Telecomunicacoes Ltda,BR,Computer and Information Technology,Internet Service Provider (ISP)
9009,262,0.0061,M247 Europe SRL,RO,Computer and Information Technology,Internet Service Provider (ISP)
15169,260,0.00606,Google LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
19551,245,0.00571,Incapsula Inc,US,Computer and Information Technology,Computer and Network Security
34762,207,0.00482,Combell NV,BE,Computer and Information Technology,Software Development
209641,201,0.00468,I-SERVERS LTD,GB,Education and Research,None
13213,176,0.0041,UK-2 Limited,GB,Computer and Information Technology,Hosting and Cloud Provider
60294,154,0.00359,Deutsche Glasfaser Wholesale GmbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
53356,125,0.00291,Free Range Cloud Hosting Inc.,CA,Computer and Information Technology,Internet Service Provider (ISP)
58487,124,0.00289,Rumahweb,ID,Computer and Information Technology,Internet Service Provider (ISP)
210644,122,0.00284,AEZA INTERNATIONAL LTD,GB,None,None
6805,110,0.00256,Telefonica Germany GmbH & Co.OHG,DE,Computer and Information Technology,Internet Service Provider (ISP)
30633,104,0.00242,"Leaseweb USA, Inc.",US,Computer and Information Technology,Internet Service Provider (ISP)
6762,91,0.00212,TELECOM ITALIA SPARKLE S.p.A.,IT,Computer and Information Technology,Internet Service Provider (ISP)
36183,84,0.00196,"Akamai Technologies, Inc.",US,Computer and Information Technology,Computer and Network Security
198066,77,0.00179,"Grupo Loading Systems, S.L.",ES,Computer and Information Technology,Internet Service Provider (ISP)
212238,75,0.00175,Datacamp Limited,GB,Computer and Information Technology,Internet Service Provider (ISP)
1299,72,0.00168,Arelion Sweden AB,SE,Computer and Information Technology,Internet Service Provider (ISP)
46997,69,0.00161,Black Mesa Corporation,US,Health Care Services,Other
7922,62,0.00144,"Comcast Cable Communications, LLC",US,Computer and Information Technology,Internet Service Provider (ISP)
55836,60,0.0014,Reliance Jio Infocomm Limited,IN,Computer and Information Technology,Internet Service Provider (ISP)
8422,60,0.0014,NetCologne Gesellschaft fur Telekommunikation mbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
205227,57,0.00133,"IT business solutions, MB",LT,Computer and Information Technology,Hosting and Cloud Provider
205745,56,0.0013,CONTRUST SOLUTIONS S.R.L.,MD,None,None
60781,55,0.00128,LeaseWeb Netherlands B.V.,NL,Computer and Information Technology,None
9002,54,0.00126,RETN Limited,GB,Computer and Information Technology,Internet Service Provider (ISP)
213220,54,0.00126,Delta Ltd,RU,Computer and Information Technology,Internet Service Provider (ISP)
24203,51,0.00119,PT XL Axiata Tbk,ID,Computer and Information Technology,Internet Service Provider (ISP)
63410,48,0.00112,PrivateSystems Networks,US,Computer and Information Technology,Internet Service Provider (ISP)
5410,47,0.0011,Bouygues Telecom SA,FR,Computer and Information Technology,Internet Service Provider (ISP)
210403,43,0.001,Groupe LWS SARL,FR,None,None
204916,42,0.00098,"RACKTECH CO., LTD.",TH,None,None
208058,41,0.00096,InnoGames GmbH,DE,"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",None
63949,40,0.00093,"Akamai Technologies, Inc.",US,Computer and Information Technology,Software Development
1221,39,0.00091,Telstra Corporation Limited,AU,Service,"Law, Business, and Consulting Services"
4837,38,0.00089,CHINA UNICOM Industrial Internet Backbone,CN,Computer and Information Technology,Internet Service Provider (ISP)
45609,37,0.00086,Bharti Airtel Limited,IN,Computer and Information Technology,Internet Service Provider (ISP)
6697,35,0.00082,Republican Unitary Telecommunication Enterprise Beltelecom,BY,Computer and Information Technology,Internet Service Provider (ISP)
262287,35,0.00082,Latitude.sh LTDA,BR,Computer and Information Technology,Hosting and Cloud Provider
9498,33,0.00077,Bharti Airtel Limited,IN,Computer and Information Technology,Internet Service Provider (ISP)
396356,32,0.00075,Latitude.sh,US,Computer and Information Technology,Internet Service Provider (ISP)
45758,32,0.00075,Triple T Broadband Public Company Limited,TH,Computer and Information Technology,Internet Service Provider (ISP)
812,32,0.00075,Rogers Communications Canada Inc.,CA,Computer and Information Technology,Internet Service Provider (ISP)
