org_name,as,number of aliased prefix,ratio of aliased prefix,country,category,sub_category
Akamai International B.V.,"[20940, 21342]",14177,0.34317000000000003,NL,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
Google LLC,"[396982, 36492, 15169]",10754,0.26031,US,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
"trafficforce, UAB","[212144, 133944, 201341]",2957,0.07157000000000001,LT,Computer and Information Technology,Software Development
Phan Nhat Nghi,[199925],2004,0.04851,VG,Construction and Real Estate,Other
"Facebook, Inc.",[32934],1833,0.04437,US,"Retail Stores, Wholesale, and E-commerce Sites",None
"Cloudflare, Inc.","[13335, 395747]",960,0.02324,US,Computer and Information Technology,Hosting and Cloud Provider
Hostinger International Limited,[47583],940,0.02275,CY,Computer and Information Technology,Software Development
"Amazon.com, Inc.",[16509],848,0.02053,US,Computer and Information Technology,Hosting and Cloud Provider
"The Constant Company, LLC",[20473],735,0.01779,US,Computer and Information Technology,Internet Service Provider (ISP)
Hurricane Electric LLC,[6939],540,0.01307,US,Computer and Information Technology,Internet Service Provider (ISP)
ScaleUp Technologies GmbH & Co. KG,[29014],332,0.00804,DE,Computer and Information Technology,None
wilhelm.tel GmbH,[15943],290,0.00702,DE,Computer and Information Technology,Internet Service Provider (ISP)
M247 Europe SRL,[9009],251,0.00608,RO,Computer and Information Technology,Internet Service Provider (ISP)
Incapsula Inc,[19551],245,0.00593,US,Computer and Information Technology,Computer and Network Security
Combell NV,[34762],206,0.00499,BE,Computer and Information Technology,Software Development
I-SERVERS LTD,[209641],196,0.00474,GB,Education and Research,None
Claro NXT Telecomunicacoes Ltda,[28573],179,0.00433,BR,Computer and Information Technology,Internet Service Provider (ISP)
UK-2 Limited,[13213],174,0.00421,GB,Computer and Information Technology,Hosting and Cloud Provider
Deutsche Glasfaser Wholesale GmbH,[60294],143,0.00346,DE,Computer and Information Technology,Internet Service Provider (ISP)
"Akamai Technologies, Inc.","[36183, 63949, 16625]",134,0.0032400000000000003,US,Computer and Information Technology,Computer and Network Security
Rumahweb,[58487],122,0.00295,ID,Computer and Information Technology,Internet Service Provider (ISP)
AEZA INTERNATIONAL LTD,[210644],121,0.00293,GB,None,None
