sub_category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio
"Banks, Credit Card Companies, Mortgage Providers",3.0,4384.0,0.0006843065693430657,3.0,1398.5382085442543,0.002145096917389705
Buildings (Residential or Commercial),16.0,4384.0,0.0036496350364963502,2.006851,1398.5382085442543,0.0014349632979201489
"Civil Engineering Construction (Utility Lines, Roads and Bridges)",5.0,37468.0,0.0001334472082844027,0.0,19.022740133634365,0.0
"Colleges, Universities, and Professional Schools",6.0,41852.0,0.00014336232438115262,1.0,1417.5609486778887,0.0007054370402434309
Computer and Network Security,1492.0,41852.0,0.03564943132944662,0.018618,1417.5609486778887,1.3133826815252197e-05
Electronics and Computer Components,2.0,4384.0,0.0004562043795620438,1.000015,1398.5382085442543,0.0007150430312811552
Elementary and Secondary Schools,1.0,4384.0,0.0002281021897810219,1.0,1398.5382085442543,0.0007150323057965683
"Government and Regulatory Agencies, Administrations, Departments, and Services",5.0,37468.0,0.0001334472082844027,0.0,19.022740133634365,0.0
Hosting and Cloud Provider,3547.0,41852.0,0.0847510274299914,13.348311,1417.5609486778887,0.009416393004088834
"Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)",4.0,37468.0,0.00010675776662752215,0.0,19.022740133634365,0.0
Internet Service Provider (ISP),4948.0,41852.0,0.11822613017299054,203.09600200000003,1417.5609486778887,0.14327144253615395
"Investment, Portfolio Management, Pensions and Funds",17.0,41852.0,0.0004061932524132658,15.000015,1417.5609486778887,0.010581566185207067
"Law Enforcement, Public Safety, and Justice",2.0,37468.0,5.337888331376107e-05,0.0,19.022740133634365,0.0
"Law, Business, and Consulting Services",136.0,41852.0,0.0032495460193061264,1004.000259,1417.5609486778887,0.7082589711125982
"Metal, Glass, Wood, and Paper Manufacturing",3.0,4384.0,0.0006843065693430657,3.0,1398.5382085442543,0.002145096917389705
"Military, Defense, National Security, and International Affairs",35.0,37468.0,0.0009341304579908188,0.0,19.022740133634365,0.0
None,3066.0,41852.0,0.073258147758769,135.15591700000002,1417.5609486778887,0.09534399005986682
Online Informational Content,8.0,41852.0,0.00019114976584153686,0.007859,1417.5609486778887,5.544029699273124e-06
Online Music and Video Streaming Services,23052.0,41852.0,0.5507980502723884,0.0391629999999999,1417.5609486778887,2.7627030807053416e-05
Other,2169.0,41852.0,0.05182548026378668,5.173706000000001,1417.5609486778887,0.003649723847729681
"Other Schools, Instruction, and Exam Preparation (Trade Schools, Art Schools, Driving Instruction, etc.)",13.0,4384.0,0.0029653284671532845,0.006836,1398.5382085442543,4.887960842425341e-06
Phone Provider,11.0,37468.0,0.0002935838582256859,2.0,19.022740133634365,0.10513732437861426
Real Estate (Residential and/or Commercial),3.0,4384.0,0.0006843065693430657,4.6e-05,1398.5382085442543,3.289148606664214e-08
"Recreation, Sports, and Performing Arts",6.0,37468.0,0.00016013664994128323,0.0,19.022740133634365,0.0
Software Development,3302.0,41852.0,0.07889706585109434,28.707329,1417.5609486778887,0.020251213203054414
