org_name,as,number of aliased prefix,ratio of aliased prefix,country,category,sub_category
Akamai International B.V.,"[20940, 21342]",14256,0.33215,NL,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
Google LLC,"[396982, 36492, 15169]",10759,0.25067,US,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
"trafficforce, UAB","[212144, 133944, 201341]",3711,0.08645000000000001,LT,Computer and Information Technology,Software Development
Phan Nhat Nghi,[199925],2004,0.04669,VG,Construction and Real Estate,Other
"Facebook, Inc.",[32934],1834,0.04273,US,"Retail Stores, Wholesale, and E-commerce Sites",None
"Cloudflare, Inc.","[13335, 395747]",959,0.022340000000000002,US,Computer and Information Technology,Hosting and Cloud Provider
Hostinger International Limited,[47583],940,0.0219,CY,Computer and Information Technology,Software Development
"Amazon.com, Inc.",[16509],862,0.02008,US,Computer and Information Technology,Hosting and Cloud Provider
"The Constant Company, LLC",[20473],773,0.01801,US,Computer and Information Technology,Internet Service Provider (ISP)
Hurricane Electric LLC,[6939],653,0.01521,US,Computer and Information Technology,Internet Service Provider (ISP)
ScaleUp Technologies GmbH & Co. KG,[29014],334,0.00778,DE,Computer and Information Technology,None
wilhelm.tel GmbH,[15943],310,0.00722,DE,Computer and Information Technology,Internet Service Provider (ISP)
Claro NXT Telecomunicacoes Ltda,[28573],302,0.00704,BR,Computer and Information Technology,Internet Service Provider (ISP)
M247 Europe SRL,[9009],262,0.0061,RO,Computer and Information Technology,Internet Service Provider (ISP)
Incapsula Inc,[19551],245,0.00571,US,Computer and Information Technology,Computer and Network Security
Combell NV,[34762],207,0.00482,BE,Computer and Information Technology,Software Development
I-SERVERS LTD,[209641],201,0.00468,GB,Education and Research,None
UK-2 Limited,[13213],176,0.0041,GB,Computer and Information Technology,Hosting and Cloud Provider
Deutsche Glasfaser Wholesale GmbH,[60294],154,0.00359,DE,Computer and Information Technology,Internet Service Provider (ISP)
"Akamai Technologies, Inc.","[36183, 63949, 16625]",137,0.00319,US,Computer and Information Technology,Computer and Network Security
Free Range Cloud Hosting Inc.,[53356],125,0.00291,CA,Computer and Information Technology,Internet Service Provider (ISP)
Rumahweb,[58487],124,0.00289,ID,Computer and Information Technology,Internet Service Provider (ISP)
AEZA INTERNATIONAL LTD,[210644],122,0.00284,GB,None,None
Telefonica Germany GmbH & Co.OHG,[6805],110,0.00256,DE,Computer and Information Technology,Internet Service Provider (ISP)
"Leaseweb USA, Inc.",[30633],104,0.00242,US,Computer and Information Technology,Internet Service Provider (ISP)
TELECOM ITALIA SPARKLE S.p.A.,[6762],91,0.00212,IT,Computer and Information Technology,Internet Service Provider (ISP)
Datacamp Limited,"[212238, 60068]",87,0.00203,GB,Computer and Information Technology,Internet Service Provider (ISP)
"Grupo Loading Systems, S.L.",[198066],77,0.00179,ES,Computer and Information Technology,Internet Service Provider (ISP)
Arelion Sweden AB,[1299],72,0.00168,SE,Computer and Information Technology,Internet Service Provider (ISP)
Bharti Airtel Limited,"[45609, 9498]",70,0.00163,IN,Computer and Information Technology,Internet Service Provider (ISP)
Black Mesa Corporation,[46997],69,0.00161,US,Health Care Services,Other
"Comcast Cable Communications, LLC",[7922],62,0.00144,US,Computer and Information Technology,Internet Service Provider (ISP)
Reliance Jio Infocomm Limited,[55836],60,0.0014,IN,Computer and Information Technology,Internet Service Provider (ISP)
NetCologne Gesellschaft fur Telekommunikation mbH,[8422],60,0.0014,DE,Computer and Information Technology,Internet Service Provider (ISP)
"IT business solutions, MB",[205227],57,0.00133,LT,Computer and Information Technology,Hosting and Cloud Provider
CONTRUST SOLUTIONS S.R.L.,[205745],56,0.0013,MD,None,None
LeaseWeb Netherlands B.V.,[60781],55,0.00128,NL,Computer and Information Technology,None
RETN Limited,[9002],54,0.00126,GB,Computer and Information Technology,Internet Service Provider (ISP)
Delta Ltd,[213220],54,0.00126,RU,Computer and Information Technology,Internet Service Provider (ISP)
PT XL Axiata Tbk,[24203],51,0.00119,ID,Computer and Information Technology,Internet Service Provider (ISP)
PrivateSystems Networks,[63410],48,0.00112,US,Computer and Information Technology,Internet Service Provider (ISP)
Bouygues Telecom SA,[5410],47,0.0011,FR,Computer and Information Technology,Internet Service Provider (ISP)
Groupe LWS SARL,[210403],43,0.001,FR,None,None
"RACKTECH CO., LTD.",[204916],42,0.00098,TH,None,None
InnoGames GmbH,[208058],41,0.00096,DE,"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",None
Telstra Corporation Limited,[1221],39,0.00091,AU,Service,"Law, Business, and Consulting Services"
CHINA UNICOM Industrial Internet Backbone,"[4837, 9929]",39,0.00091,CN,Computer and Information Technology,Internet Service Provider (ISP)
Republican Unitary Telecommunication Enterprise Beltelecom,[6697],35,0.00082,BY,Computer and Information Technology,Internet Service Provider (ISP)
Latitude.sh LTDA,[262287],35,0.00082,BR,Computer and Information Technology,Hosting and Cloud Provider
Triple T Broadband Public Company Limited,[45758],32,0.00075,TH,Computer and Information Technology,Internet Service Provider (ISP)
Latitude.sh,[396356],32,0.00075,US,Computer and Information Technology,Internet Service Provider (ISP)
Rogers Communications Canada Inc.,[812],32,0.00075,CA,Computer and Information Technology,Internet Service Provider (ISP)
Proximus NV,[5432],31,0.00072,BE,Computer and Information Technology,Internet Service Provider (ISP)
One New Zealand Group Limited,[9500],31,0.00072,NZ,Computer and Information Technology,Internet Service Provider (ISP)
PLUSWEB SUNUCU INTERNET HIZMETLERI TICARET LIMITED SIRKETI,[210107],31,0.00072,TR,Computer and Information Technology,Internet Service Provider (ISP)
Constantine Cybersecurity Ltd.,[211298],30,0.0007,GB,Computer and Information Technology,None
GTS Telecom SRL,[5606],30,0.0007,RO,Computer and Information Technology,Internet Service Provider (ISP)
China Mobile Communications Corporation,"[56040, 56046, 56041]",29,0.00067,CN,Computer and Information Technology,Internet Service Provider (ISP)
Kirino LLC,[41378],26,0.00061,US,Computer and Information Technology,Internet Service Provider (ISP)
One.com A/S,[51468],26,0.00061,DK,Computer and Information Technology,None
TELUS Communications Inc.,[852],25,0.00058,CA,Computer and Information Technology,Internet Service Provider (ISP)
Bharat Sanchar Nigam Ltd,[9829],25,0.00058,IN,Computer and Information Technology,Internet Service Provider (ISP)
China Telecom,"[140903, 137702, 134756, 140061]",22,0.00051,CN,Computer and Information Technology,None
KOMRO Gesellschaft fuer Telekommunikation mit beschraenkter Haftung,[29413],22,0.00051,DE,Computer and Information Technology,Internet Service Provider (ISP)
Neustar Security Services,"[397220, 397232, 397226]",22,0.00051,US,Government and Public Administration,"Military, Defense, National Security, and International Affairs"
"StackPath, LLC.",[33438],20,0.00047,US,Computer and Information Technology,Computer and Network Security
Bell Canada,[577],19,0.00044,CA,Computer and Information Technology,Internet Service Provider (ISP)
China Mobile,"[9808, 24547, 24400, 24444]",19,0.00044,CN,Computer and Information Technology,Internet Service Provider (ISP)
Vodafone Idea Ltd. (VIL),"[38266, 55644, 55410]",18,0.00041999999999999996,IN,Computer and Information Technology,Internet Service Provider (ISP)
"No.31,Jin-rong Street",[4134],18,0.00042,CN,Computer and Information Technology,Internet Service Provider (ISP)
Fiber Operator B.V.,[207375],17,0.0004,NL,Computer and Information Technology,Internet Service Provider (ISP)
"Fundacao para a Ciencia e a Tecnologia, I.P.",[1930],17,0.0004,PT,Computer and Information Technology,Internet Service Provider (ISP)
Saudi Telecom Company JSC,[25019],15,0.00035,SA,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
Tele2 Sverige AB,[1257],15,0.00035,SE,Computer and Information Technology,Internet Service Provider (ISP)
Local Loop Oy,[204779],15,0.00035,FI,Computer and Information Technology,Software Development
FUNPAR - Fundacao da UFPR para o DCTC,[10881],15,0.00035,BR,Education and Research,None
TPG Internet Pty Ltd,[7545],14,0.00033,AU,Computer and Information Technology,Internet Service Provider (ISP)
Blacknight Internet Solutions Limited,[39122],14,0.00033,IE,Computer and Information Technology,Software Development
Association FAImaison,[203432],14,0.00033,FR,Community Groups and Nonprofits,Other
Maxis Broadband Sdn Bhd,[9534],14,0.00033,MY,Computer and Information Technology,Internet Service Provider (ISP)
"Societatea mixta pe actiuni de tip inchis ""Interdnestrcom""",[1547],14,0.00033,MD,Computer and Information Technology,Internet Service Provider (ISP)
Performive LLC,[46562],14,0.00033,US,Computer and Information Technology,Internet Service Provider (ISP)
Internet Rimon LTD,[42925],14,0.00033,IL,Computer and Information Technology,Internet Service Provider (ISP)
24 SHELLS,[55081],14,0.00033,US,Computer and Information Technology,Internet Service Provider (ISP)
MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,[8657],13,0.0003,PT,Computer and Information Technology,Internet Service Provider (ISP)
Psychz Networks,[40676],13,0.0003,US,Computer and Information Technology,Hosting and Cloud Provider
Telstra International Limited,[4637],13,0.0003,HK,Computer and Information Technology,Internet Service Provider (ISP)
"QTnet,Inc.",[7679],13,0.0003,JP,None,None
"ChoicePoint, Inc.",[25923],13,0.0003,US,Computer and Information Technology,Software Development
