as,number of aliased prefix,ratio of aliased prefix,org_name,country,category,sub_category
20940,14274,0.33158,Akamai International B.V.,NL,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
396982,8861,0.20584,Google LLC,US,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
212144,3539,0.08221,"trafficforce, UAB",LT,Computer and Information Technology,Software Development
199925,2004,0.04655,Phan Nhat Nghi,VG,Construction and Real Estate,Other
32934,1834,0.0426,"Facebook, Inc.",US,"Retail Stores, Wholesale, and E-commerce Sites",None
36492,1650,0.03833,Google LLC,US,Computer and Information Technology,Software Development
13335,1012,0.02351,"Cloudflare, Inc.",US,Computer and Information Technology,Hosting and Cloud Provider
47583,942,0.02188,Hostinger International Limited,CY,Computer and Information Technology,Software Development
16509,902,0.02095,"Amazon.com, Inc.",US,Computer and Information Technology,Hosting and Cloud Provider
20473,804,0.01868,"The Constant Company, LLC",US,Computer and Information Technology,Internet Service Provider (ISP)
6939,684,0.01589,Hurricane Electric LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
29014,335,0.00778,ScaleUp Technologies GmbH & Co. KG,DE,Computer and Information Technology,None
15943,307,0.00713,wilhelm.tel GmbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
9009,261,0.00606,M247 Europe SRL,RO,Computer and Information Technology,Internet Service Provider (ISP)
15169,260,0.00604,Google LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
28573,256,0.00595,Claro NXT Telecomunicacoes Ltda,BR,Computer and Information Technology,Internet Service Provider (ISP)
19551,245,0.00569,Incapsula Inc,US,Computer and Information Technology,Computer and Network Security
34762,206,0.00479,Combell NV,BE,Computer and Information Technology,Software Development
209641,201,0.00467,I-SERVERS LTD,GB,Education and Research,None
13213,179,0.00416,UK-2 Limited,GB,Computer and Information Technology,Hosting and Cloud Provider
60294,149,0.00346,Deutsche Glasfaser Wholesale GmbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
210644,124,0.00288,AEZA INTERNATIONAL LTD,GB,None,None
58487,122,0.00283,Rumahweb,ID,Computer and Information Technology,Internet Service Provider (ISP)
6805,110,0.00256,Telefonica Germany GmbH & Co.OHG,DE,Computer and Information Technology,Internet Service Provider (ISP)
30633,104,0.00242,"Leaseweb USA, Inc.",US,Computer and Information Technology,Internet Service Provider (ISP)
36183,102,0.00237,"Akamai Technologies, Inc.",US,Computer and Information Technology,Computer and Network Security
53356,100,0.00232,Free Range Cloud Hosting Inc.,CA,Computer and Information Technology,Internet Service Provider (ISP)
6762,91,0.00211,TELECOM ITALIA SPARKLE S.p.A.,IT,Computer and Information Technology,Internet Service Provider (ISP)
212238,78,0.00181,Datacamp Limited,GB,Computer and Information Technology,Internet Service Provider (ISP)
1299,72,0.00167,Arelion Sweden AB,SE,Computer and Information Technology,Internet Service Provider (ISP)
46997,71,0.00165,Black Mesa Corporation,US,Health Care Services,Other
204916,64,0.00149,"RACKTECH CO., LTD.",TH,None,None
7922,63,0.00146,"Comcast Cable Communications, LLC",US,Computer and Information Technology,Internet Service Provider (ISP)
8422,62,0.00144,NetCologne Gesellschaft fur Telekommunikation mbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
198066,58,0.00135,"Grupo Loading Systems, S.L.",ES,Computer and Information Technology,Internet Service Provider (ISP)
55836,58,0.00135,Reliance Jio Infocomm Limited,IN,Computer and Information Technology,Internet Service Provider (ISP)
9002,55,0.00128,RETN Limited,GB,Computer and Information Technology,Internet Service Provider (ISP)
60781,55,0.00128,LeaseWeb Netherlands B.V.,NL,Computer and Information Technology,None
213220,54,0.00125,Delta Ltd,RU,Computer and Information Technology,Internet Service Provider (ISP)
205227,51,0.00118,"IT business solutions, MB",LT,Computer and Information Technology,Hosting and Cloud Provider
24203,51,0.00118,PT XL Axiata Tbk,ID,Computer and Information Technology,Internet Service Provider (ISP)
205745,51,0.00118,CONTRUST SOLUTIONS S.R.L.,MD,None,None
63410,50,0.00116,PrivateSystems Networks,US,Computer and Information Technology,Internet Service Provider (ISP)
5410,47,0.00109,Bouygues Telecom SA,FR,Computer and Information Technology,Internet Service Provider (ISP)
4837,45,0.00105,CHINA UNICOM Industrial Internet Backbone,CN,Computer and Information Technology,Internet Service Provider (ISP)
63949,42,0.00098,"Akamai Technologies, Inc.",US,Computer and Information Technology,Software Development
208058,41,0.00095,InnoGames GmbH,DE,"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",None
1221,40,0.00093,Telstra Corporation Limited,AU,Service,"Law, Business, and Consulting Services"
45609,37,0.00086,Bharti Airtel Limited,IN,Computer and Information Technology,Internet Service Provider (ISP)
210403,36,0.00084,Groupe LWS SARL,FR,None,None
262287,35,0.00081,Latitude.sh LTDA,BR,Computer and Information Technology,Hosting and Cloud Provider
812,35,0.00081,Rogers Communications Canada Inc.,CA,Computer and Information Technology,Internet Service Provider (ISP)
6697,35,0.00081,Republican Unitary Telecommunication Enterprise Beltelecom,BY,Computer and Information Technology,Internet Service Provider (ISP)
9498,33,0.00077,Bharti Airtel Limited,IN,Computer and Information Technology,Internet Service Provider (ISP)
396356,33,0.00077,Latitude.sh,US,Computer and Information Technology,Internet Service Provider (ISP)
45758,32,0.00074,Triple T Broadband Public Company Limited,TH,Computer and Information Technology,Internet Service Provider (ISP)
9500,31,0.00072,One New Zealand Group Limited,NZ,Computer and Information Technology,Internet Service Provider (ISP)
5432,31,0.00072,Proximus NV,BE,Computer and Information Technology,Internet Service Provider (ISP)
5606,30,0.0007,GTS Telecom SRL,RO,Computer and Information Technology,Internet Service Provider (ISP)
41378,28,0.00065,Kirino LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
51468,25,0.00058,One.com A/S,DK,Computer and Information Technology,None
852,25,0.00058,TELUS Communications Inc.,CA,Computer and Information Technology,Internet Service Provider (ISP)
9829,25,0.00058,Bharat Sanchar Nigam Ltd,IN,Computer and Information Technology,Internet Service Provider (ISP)
211298,23,0.00053,Constantine Cybersecurity Ltd.,GB,Computer and Information Technology,None
29413,22,0.00051,KOMRO Gesellschaft fuer Telekommunikation mit beschraenkter Haftung,DE,Computer and Information Technology,Internet Service Provider (ISP)
577,20,0.00046,Bell Canada,CA,Computer and Information Technology,Internet Service Provider (ISP)
56040,19,0.00044,China Mobile Communications Corporation,CN,Computer and Information Technology,Internet Service Provider (ISP)
4134,19,0.00044,"No.31,Jin-rong Street",CN,Computer and Information Technology,Internet Service Provider (ISP)
33438,19,0.00044,"StackPath, LLC.",US,Computer and Information Technology,Computer and Network Security
216349,18,0.00042,"Getechbrothers, MB",LT,None,None
9808,17,0.00039,China Mobile,CN,Computer and Information Technology,Internet Service Provider (ISP)
207375,17,0.00039,Fiber Operator B.V.,NL,Computer and Information Technology,Internet Service Provider (ISP)
10881,17,0.00039,FUNPAR - Fundacao da UFPR para o DCTC,BR,Education and Research,None
1930,17,0.00039,"Fundacao para a Ciencia e a Tecnologia, I.P.",PT,Computer and Information Technology,Internet Service Provider (ISP)
397220,16,0.00037,Neustar Security Services,US,Government and Public Administration,"Military, Defense, National Security, and International Affairs"
25019,16,0.00037,Saudi Telecom Company JSC,SA,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
46562,16,0.00037,Performive LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
42925,16,0.00037,Internet Rimon LTD,IL,Computer and Information Technology,Internet Service Provider (ISP)
203432,16,0.00037,Association FAImaison,FR,Community Groups and Nonprofits,Other
210107,16,0.00037,PLUSWEB SUNUCU INTERNET HIZMETLERI TICARET LIMITED SIRKETI,TR,Computer and Information Technology,Internet Service Provider (ISP)
204779,15,0.00035,Local Loop Oy,FI,Computer and Information Technology,Software Development
38266,15,0.00035,Vodafone Idea Ltd. (VIL),IN,Computer and Information Technology,Internet Service Provider (ISP)
55081,15,0.00035,24 SHELLS,US,Computer and Information Technology,Internet Service Provider (ISP)
1257,15,0.00035,Tele2 Sverige AB,SE,Computer and Information Technology,Internet Service Provider (ISP)
40676,15,0.00035,Psychz Networks,US,Computer and Information Technology,Hosting and Cloud Provider
1547,14,0.00033,"Societatea mixta pe actiuni de tip inchis ""Interdnestrcom""",MD,Computer and Information Technology,Internet Service Provider (ISP)
212786,14,0.00033,DIGITAL NETWORK S.R.L.,MD,Computer and Information Technology,Hosting and Cloud Provider
9534,14,0.00033,Maxis Broadband Sdn Bhd,MY,Computer and Information Technology,Internet Service Provider (ISP)
7545,14,0.00033,TPG Internet Pty Ltd,AU,Computer and Information Technology,Internet Service Provider (ISP)
7679,13,0.0003,"QTnet,Inc.",JP,None,None
25923,13,0.0003,"ChoicePoint, Inc.",US,Computer and Information Technology,Software Development
16625,13,0.0003,"Akamai Technologies, Inc.",US,Computer and Information Technology,Computer and Network Security
4637,13,0.0003,Telstra International Limited,HK,Computer and Information Technology,Internet Service Provider (ISP)
39122,13,0.0003,Blacknight Internet Solutions Limited,IE,Computer and Information Technology,Software Development
3389,13,0.0003,Ford Motor Company,US,"Freight, Shipment, and Postal Services",None
60068,12,0.00028,Datacamp Limited,GB,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
22995,12,0.00028,Xplornet Communications Inc.,CA,Computer and Information Technology,Internet Service Provider (ISP)
205212,12,0.00028,LoudTronix Inc.,CA,Community Groups and Nonprofits,Other
