as,number of aliased prefix,ratio of aliased prefix,org_name,country,category,sub_category
20940,9795,0.34179,Akamai International B.V.,NL,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
16509,5610,0.19576,"Amazon.com, Inc.",US,Computer and Information Technology,Hosting and Cloud Provider
32934,1940,0.06769,"Facebook, Inc.",US,"Retail Stores, Wholesale, and E-commerce Sites",None
36492,1546,0.05395,Google LLC,US,Computer and Information Technology,Software Development
13335,1397,0.04875,"Cloudflare, Inc.",US,Computer and Information Technology,Hosting and Cloud Provider
47583,970,0.03385,Hostinger International Limited,CY,Computer and Information Technology,Software Development
20473,732,0.02554,"The Constant Company, LLC",US,Computer and Information Technology,Internet Service Provider (ISP)
6939,675,0.02355,Hurricane Electric LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
15169,278,0.0097,Google LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
15943,258,0.009,wilhelm.tel GmbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
28573,245,0.00855,Claro NXT Telecomunicacoes Ltda,BR,Computer and Information Technology,Internet Service Provider (ISP)
19551,235,0.0082,Incapsula Inc,US,Computer and Information Technology,Computer and Network Security
34762,208,0.00726,Combell NV,BE,Computer and Information Technology,Software Development
135981,179,0.00625,VisualViet Company Limited,VN,Computer and Information Technology,Internet Service Provider (ISP)
9009,173,0.00604,M247 Europe SRL,RO,Computer and Information Technology,Internet Service Provider (ISP)
395839,167,0.00583,HOSTKEY,US,Computer and Information Technology,Phone Provider
13213,165,0.00576,UK-2 Limited,GB,Computer and Information Technology,Hosting and Cloud Provider
60294,152,0.0053,Deutsche Glasfaser Wholesale GmbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
58487,125,0.00436,Rumahweb,ID,Computer and Information Technology,Internet Service Provider (ISP)
6805,116,0.00405,Telefonica Germany GmbH & Co.OHG,DE,Computer and Information Technology,Internet Service Provider (ISP)
24203,92,0.00321,PT XL Axiata Tbk,ID,Computer and Information Technology,Internet Service Provider (ISP)
30633,83,0.0029,"Leaseweb USA, Inc.",US,Computer and Information Technology,Internet Service Provider (ISP)
1299,73,0.00255,Arelion Sweden AB,SE,Computer and Information Technology,Internet Service Provider (ISP)
46562,72,0.00251,Performive LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
