org_name,as,number of aliased prefix,ratio of aliased prefix,country,category,sub_category
Akamai International B.V.,"[20940, 21342]",9798,0.34188999999999997,NL,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
"Amazon.com, Inc.",[16509],5610,0.19576,US,Computer and Information Technology,Hosting and Cloud Provider
"Facebook, Inc.",[32934],1940,0.06769,US,"Retail Stores, Wholesale, and E-commerce Sites",None
Google LLC,"[36492, 15169, 396982]",1828,0.06379,US,Computer and Information Technology,Software Development
"Cloudflare, Inc.","[13335, 395747]",1402,0.048920000000000005,US,Computer and Information Technology,Hosting and Cloud Provider
Hostinger International Limited,[47583],970,0.03385,CY,Computer and Information Technology,Software Development
"The Constant Company, LLC",[20473],732,0.02554,US,Computer and Information Technology,Internet Service Provider (ISP)
Hurricane Electric LLC,[6939],675,0.02355,US,Computer and Information Technology,Internet Service Provider (ISP)
wilhelm.tel GmbH,[15943],258,0.009,DE,Computer and Information Technology,Internet Service Provider (ISP)
Claro NXT Telecomunicacoes Ltda,[28573],245,0.00855,BR,Computer and Information Technology,Internet Service Provider (ISP)
Incapsula Inc,[19551],235,0.0082,US,Computer and Information Technology,Computer and Network Security
Combell NV,[34762],208,0.00726,BE,Computer and Information Technology,Software Development
VisualViet Company Limited,[135981],179,0.00625,VN,Computer and Information Technology,Internet Service Provider (ISP)
M247 Europe SRL,[9009],173,0.00604,RO,Computer and Information Technology,Internet Service Provider (ISP)
HOSTKEY,[395839],167,0.00583,US,Computer and Information Technology,Phone Provider
UK-2 Limited,[13213],165,0.00576,GB,Computer and Information Technology,Hosting and Cloud Provider
Deutsche Glasfaser Wholesale GmbH,[60294],152,0.0053,DE,Computer and Information Technology,Internet Service Provider (ISP)
Rumahweb,[58487],125,0.00436,ID,Computer and Information Technology,Internet Service Provider (ISP)
"Akamai Technologies, Inc.","[36183, 63949, 16625]",116,0.00405,US,Computer and Information Technology,Computer and Network Security
Telefonica Germany GmbH & Co.OHG,[6805],116,0.00405,DE,Computer and Information Technology,Internet Service Provider (ISP)
PT XL Axiata Tbk,[24203],92,0.00321,ID,Computer and Information Technology,Internet Service Provider (ISP)
"Leaseweb USA, Inc.",[30633],83,0.0029,US,Computer and Information Technology,Internet Service Provider (ISP)
Bharti Airtel Limited,"[9498, 45609, 24560]",82,0.00286,IN,Computer and Information Technology,Internet Service Provider (ISP)
Arelion Sweden AB,[1299],73,0.00255,SE,Computer and Information Technology,Internet Service Provider (ISP)
Performive LLC,[46562],72,0.00251,US,Computer and Information Technology,Internet Service Provider (ISP)
TELECOM ITALIA SPARKLE S.p.A.,[6762],63,0.0022,IT,Computer and Information Technology,Internet Service Provider (ISP)
NetCologne Gesellschaft fur Telekommunikation mbH,[8422],61,0.00213,DE,Computer and Information Technology,Internet Service Provider (ISP)
Reliance Jio Infocomm Limited,[55836],58,0.00202,IN,Computer and Information Technology,Internet Service Provider (ISP)
Datacamp Limited,"[212238, 60068]",55,0.0019199999999999998,GB,Computer and Information Technology,Internet Service Provider (ISP)
RETN Limited,[9002],55,0.00192,GB,Computer and Information Technology,Internet Service Provider (ISP)
LeaseWeb Netherlands B.V.,[60781],50,0.00174,NL,Computer and Information Technology,None
"Comcast Cable Communications, LLC",[7922],50,0.00174,US,Computer and Information Technology,Internet Service Provider (ISP)
Altinea SAS,[41405],48,0.00167,FR,Computer and Information Technology,None
PrivateSystems Networks,[63410],48,0.00167,US,Computer and Information Technology,Internet Service Provider (ISP)
Vietnam Posts and Telecommunications (VNPT),[45899],47,0.00164,VN,Computer and Information Technology,Internet Service Provider (ISP)
CHINA UNICOM Industrial Internet Backbone,"[4837, 9929]",47,0.00164,CN,Computer and Information Technology,Internet Service Provider (ISP)
I-SERVERS LTD,[209641],44,0.00154,GB,Education and Research,None
InnoGames GmbH,[208058],42,0.00147,DE,"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",None
Latitude.sh,[396356],42,0.00147,US,Computer and Information Technology,Internet Service Provider (ISP)
Rogers Communications Canada Inc.,[812],40,0.0014,CA,Computer and Information Technology,Internet Service Provider (ISP)
Bharat Sanchar Nigam Ltd,[9829],40,0.0014,IN,Computer and Information Technology,Internet Service Provider (ISP)
Telstra Corporation Limited,[1221],40,0.0014,AU,Service,"Law, Business, and Consulting Services"
Megacore Technology Company Limited,[140810],37,0.00129,VN,Computer and Information Technology,Internet Service Provider (ISP)
China Mobile,"[24547, 9808, 24400, 24444]",36,0.0012500000000000002,CN,Computer and Information Technology,Internet Service Provider (ISP)
Latitude.sh LTDA,[262287],36,0.00126,BR,Computer and Information Technology,Hosting and Cloud Provider
"RACKTECH CO., LTD.",[204916],36,0.00126,TH,None,None
Republican Unitary Telecommunication Enterprise Beltelecom,[6697],35,0.00122,BY,Computer and Information Technology,Internet Service Provider (ISP)
"GALAXYGATE, LLC",[397031],34,0.00119,US,Other,None
"IT business solutions, MB",[205227],33,0.00115,LT,Computer and Information Technology,Hosting and Cloud Provider
China Mobile Communications Corporation,"[56040, 56046, 56041, 56048, 134810]",32,0.0011,CN,Computer and Information Technology,Internet Service Provider (ISP)
Triple T Broadband Public Company Limited,[45758],31,0.00108,TH,Computer and Information Technology,Internet Service Provider (ISP)
One New Zealand Group Limited,[9500],31,0.00108,NZ,Computer and Information Technology,Internet Service Provider (ISP)
Vodafone Idea Ltd. (VIL),"[55644, 38266, 55410]",31,0.00108,IN,Computer and Information Technology,Internet Service Provider (ISP)
Bell Canada,[577],30,0.00105,CA,Computer and Information Technology,Internet Service Provider (ISP)
GTS Telecom SRL,[5606],30,0.00105,RO,Computer and Information Technology,Internet Service Provider (ISP)
Bouygues Telecom SA,[5410],29,0.00101,FR,Computer and Information Technology,Internet Service Provider (ISP)
Delta Ltd,[213220],27,0.00094,RU,Computer and Information Technology,Internet Service Provider (ISP)
Proximus NV,[5432],26,0.00091,BE,Computer and Information Technology,Internet Service Provider (ISP)
One.com A/S,[51468],26,0.00091,DK,Computer and Information Technology,None
China Telecom,"[140903, 137702, 134756, 140345, 140061]",24,0.00083,CN,Computer and Information Technology,None
CONTRUST SOLUTIONS S.R.L.,[205745],24,0.00084,MD,None,None
"Taiwan Fixed Network, Telco and Network Service Provider.",[9924],23,0.0008,TW,Computer and Information Technology,Internet Service Provider (ISP)
FranTech Solutions,[53667],22,0.00077,US,Computer and Information Technology,Hosting and Cloud Provider
KOMRO Gesellschaft fuer Telekommunikation mit beschraenkter Haftung,[29413],22,0.00077,DE,Computer and Information Technology,Internet Service Provider (ISP)
TELUS Communications Inc.,[852],22,0.00077,CA,Computer and Information Technology,Internet Service Provider (ISP)
"trafficforce, UAB","[212144, 201341, 133944]",22,0.0007599999999999999,LT,Computer and Information Technology,Software Development
"HAProxy Technologies, Inc.",[11019],21,0.00073,US,Computer and Information Technology,Computer and Network Security
Neustar Security Services,"[397232, 397224, 397226]",21,0.00073,US,Government and Public Administration,"Military, Defense, National Security, and International Affairs"
HKBN Enterprise Solutions HK Limited,[9381],20,0.0007,HK,Computer and Information Technology,Internet Service Provider (ISP)
"No.31,Jin-rong Street",[4134],20,0.0007,CN,Computer and Information Technology,Internet Service Provider (ISP)
Groupe LWS SARL,[210403],19,0.00066,FR,None,None
Dimension Data,"[10474, 3741]",19,0.00066,ZA,Computer and Information Technology,Internet Service Provider (ISP)
CAT Telecom Public Company Limited,[4651],19,0.00066,TH,Computer and Information Technology,Internet Service Provider (ISP)
China Mobile International Limited,[58453],19,0.00066,HK,Computer and Information Technology,Internet Service Provider (ISP)
Starhub Ltd.,[4657],19,0.00066,SG,Computer and Information Technology,Internet Service Provider (ISP)
Free Range Cloud Hosting Inc.,[53356],18,0.00063,CA,Computer and Information Technology,Internet Service Provider (ISP)
"Fundacao para a Ciencia e a Tecnologia, I.P.",[1930],17,0.00059,PT,Computer and Information Technology,Internet Service Provider (ISP)
Tele2 Sverige AB,[1257],17,0.00059,SE,Computer and Information Technology,Internet Service Provider (ISP)
"StackPath, LLC.",[33438],17,0.00059,US,Computer and Information Technology,Computer and Network Security
Xplornet Communications Inc.,[22995],16,0.00056,CA,Computer and Information Technology,Internet Service Provider (ISP)
Saudi Telecom Company JSC,[25019],16,0.00056,SA,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
Fiber Operator B.V.,[207375],16,0.00056,NL,Computer and Information Technology,Internet Service Provider (ISP)
FUNPAR - Fundacao da UFPR para o DCTC,[10881],16,0.00056,BR,Education and Research,None
Association FAImaison,[203432],16,0.00056,FR,Community Groups and Nonprofits,Other
Internet Rimon LTD,[42925],15,0.00052,IL,Computer and Information Technology,Internet Service Provider (ISP)
MonoCloud Pty Ltd,[149485],15,0.00052,AU,"Media, Publishing, and Broadcasting",Online Informational Content
"QTnet,Inc.",[7679],15,0.00052,JP,None,None
"Grupo Loading Systems, S.L.",[198066],15,0.00052,ES,Computer and Information Technology,Internet Service Provider (ISP)
Swisscom (Schweiz) AG,[3303],15,0.00052,CH,Computer and Information Technology,Internet Service Provider (ISP)
Constantine Cybersecurity Ltd.,[211298],14,0.00049,GB,Computer and Information Technology,None
24 SHELLS,[55081],14,0.00049,US,Computer and Information Technology,Internet Service Provider (ISP)
Securebit AG,[58057],14,0.00049,CH,Computer and Information Technology,Internet Service Provider (ISP)
"Atria Convergence Technologies Pvt. Ltd.,",[24309],14,0.00049,IN,Computer and Information Technology,Internet Service Provider (ISP)
TPG Internet Pty Ltd,[7545],14,0.00049,AU,Computer and Information Technology,Internet Service Provider (ISP)
Kirino LLC,[41378],14,0.00049,US,Computer and Information Technology,Internet Service Provider (ISP)
PLUSWEB SUNUCU INTERNET HIZMETLERI TICARET LIMITED SIRKETI,[210107],13,0.00045,TR,Computer and Information Technology,Internet Service Provider (ISP)
Jordan Telecommunications PSC,[8697],13,0.00045,JO,Computer and Information Technology,Internet Service Provider (ISP)
Maxis Broadband Sdn Bhd,[9534],13,0.00045,MY,Computer and Information Technology,Internet Service Provider (ISP)
Ford Motor Company,[3389],13,0.00045,US,"Freight, Shipment, and Postal Services",None
Blacknight Internet Solutions Limited,[39122],13,0.00045,IE,Computer and Information Technology,Software Development
SIXNET OPERATION LTD,[198231],13,0.00045,GB,None,None
"ChoicePoint, Inc.",[25923],13,0.00045,US,Computer and Information Technology,Software Development
Telstra International Limited,[4637],13,0.00045,HK,Computer and Information Technology,Internet Service Provider (ISP)
CONTROLD INC.,[398962],12,0.00042,CA,Community Groups and Nonprofits,Other
Sprious LLC,[64267],12,0.00042,US,Computer and Information Technology,Internet Service Provider (ISP)
National Chung Hsing University,[1659],12,0.00042,TW,Education and Research,"Colleges, Universities, and Professional Schools"
Individual Network Berlin e.V.,[29670],11,0.00038,DE,Community Groups and Nonprofits,None
"NOS COMUNICACOES, S.A.",[2860],11,0.00038,PT,Computer and Information Technology,Internet Service Provider (ISP)
Essener Systemhaus,[205807],11,0.00038,DE,Computer and Information Technology,None
WorldLink Communications,[17501],11,0.00038,NP,Computer and Information Technology,Internet Service Provider (ISP)
"Nocix, LLC",[33387],11,0.00038,US,Computer and Information Technology,Internet Service Provider (ISP)
Local Loop Oy,[204779],11,0.00038,FI,Computer and Information Technology,Software Development
LLC Vpsville,[59504],11,0.00038,RU,Computer and Information Technology,Software Development
JSC IOT,[29182],10,0.00035,RU,Computer and Information Technology,None
"Tianjij,300000",[58542],9,0.00031,CN,Computer and Information Technology,Internet Service Provider (ISP)
AltusHost B.V.,[51430],9,0.00031,NL,Computer and Information Technology,Internet Service Provider (ISP)
TM TECHNOLOGY SERVICES SDN BHD,[4788],9,0.00031,MY,Computer and Information Technology,Internet Service Provider (ISP)
IMPERVA INC,[62571],9,0.00031,US,Government and Public Administration,"Military, Defense, National Security, and International Affairs"
Clouvider Limited,[62240],9,0.00031,GB,Computer and Information Technology,Internet Service Provider (ISP)
Latvijas Mobilais Telefons SIA,[24921],9,0.00031,LV,Computer and Information Technology,Internet Service Provider (ISP)
"Mega Cable, S.A. de C.V.",[13999],9,0.00031,MX,Computer and Information Technology,Internet Service Provider (ISP)
SCALEWAY S.A.S.,[12876],8,0.00028,FR,Computer and Information Technology,None
OVH SAS,[16276],8,0.00028,FR,Computer and Information Technology,Hosting and Cloud Provider
IP SERVER LLC,[44812],8,0.00028,RU,Computer and Information Technology,Internet Service Provider (ISP)
Arcade Solutions AG,[51873],8,0.00028,CH,Computer and Information Technology,Internet Service Provider (ISP)
"Limelight Networks, Inc.",[22822],8,0.00028,US,Computer and Information Technology,Internet Service Provider (ISP)
LoudTronix Inc.,[205212],8,0.00028,CA,Community Groups and Nonprofits,Other
"Eagle Sky Co., Lt",[55303],8,0.00028,BZ,Computer and Information Technology,Hosting and Cloud Provider
"LLC ""MASTERHOST""",[25532],8,0.00028,RU,Computer and Information Technology,Software Development
Intergrid Group Pty Ltd,[133480],8,0.00028,AU,Computer and Information Technology,Internet Service Provider (ISP)
3xK Tech GmbH,"[198571, 200373]",8,0.00028,DE,Computer and Information Technology,Internet Service Provider (ISP)
Data102,[17185],8,0.00028,US,Computer and Information Technology,Internet Service Provider (ISP)
NETBUDUR TELEKOMUNIKASYON LIMITED SIRKETI,[202505],8,0.00028,TR,Computer and Information Technology,Hosting and Cloud Provider
Deutsche Telekom AG,[3320],8,0.00028,DE,Computer and Information Technology,Internet Service Provider (ISP)
CLDIN B.V.,[48635],7,0.00024,NL,Computer and Information Technology,Hosting and Cloud Provider
DIGITAL NETWORK S.R.L.,[212786],7,0.00024,MD,Computer and Information Technology,Hosting and Cloud Provider
China Telecom (Group),"[4835, 4811, 4812]",7,0.00024,CN,Computer and Information Technology,Internet Service Provider (ISP)
Turk Telekomunikasyon Anonim Sirketi,[9121],7,0.00024,TR,Computer and Information Technology,Internet Service Provider (ISP)
China Unicom,"[4808, 138421, 140716, 136959, 17816]",7,0.00022999999999999998,CN,Computer and Information Technology,Internet Service Provider (ISP)
Hivelocity Inc,[61317],7,0.00024,US,Computer and Information Technology,None
JSC RTComm.RU,[8342],7,0.00024,RU,Computer and Information Technology,Internet Service Provider (ISP)
EGIHosting,[18779],7,0.00024,US,Computer and Information Technology,Internet Service Provider (ISP)
GNET Internet Telekomunikasyon A.S.,[42846],7,0.00024,TR,Computer and Information Technology,Internet Service Provider (ISP)
QuadraNet Enterprises LLC,[8100],6,0.00021,US,Computer and Information Technology,Computer and Network Security
DEFSOLUTION LLC,[197992],6,0.00021,US,None,None
EuroByte LLC,[210079],6,0.00021,RU,Construction and Real Estate,"Civil Engineering Construction (Utility Lines, Roads and Bridges)"
Cogent Communications,[174],6,0.00021,US,Computer and Information Technology,Internet Service Provider (ISP)
Satnet,[14522],6,0.00021,EC,Computer and Information Technology,Internet Service Provider (ISP)
China Education and Research Network Center,[4538],6,0.00021,CN,Education and Research,"Colleges, Universities, and Professional Schools"
Orange S.A.,[3215],6,0.00021,FR,Computer and Information Technology,Internet Service Provider (ISP)
Petersburg Internet Network ltd.,[34665],6,0.00021,RU,Computer and Information Technology,Internet Service Provider (ISP)
"AT&T Services, Inc.",[7018],6,0.00021,US,Computer and Information Technology,Internet Service Provider (ISP)
"GridFury, LLC",[40630],6,0.00021,US,Computer and Information Technology,Internet Service Provider (ISP)
firstcolo GmbH,[44066],6,0.00021,DE,Computer and Information Technology,Internet Service Provider (ISP)
Societe Francaise Du Radiotelephone - SFR SA,[15557],5,0.00017,FR,Computer and Information Technology,Internet Service Provider (ISP)
ANS ACADEMY LIMITED,[61323],5,0.00017,GB,Computer and Information Technology,None
hkgo LLC,[945],5,0.00017,TW,Computer and Information Technology,Internet Service Provider (ISP)
"Beijing Jingdong 360 Degree E-commerce Co., Ltd.",[131486],5,0.00017,CN,"Museums, Libraries, and Entertainment","Recreation, Sports, and Performing Arts"
WhatsApp,[11917],5,0.00017,US,"Retail Stores, Wholesale, and E-commerce Sites",None
CHINANET SHAANXI province Cloud Base network,[134768],5,0.00017,CN,Government and Public Administration,"Government and Regulatory Agencies, Administrations, Departments, and Services"
STARK INDUSTRIES SOLUTIONS LTD,[44477],5,0.00017,GB,Manufacturing,"Metal, Glass, Wood, and Paper Manufacturing"
Cox Communications Inc.,[22773],5,0.00017,US,Computer and Information Technology,Internet Service Provider (ISP)
VOCUS PTY LTD,[9443],5,0.00017,AU,Computer and Information Technology,Internet Service Provider (ISP)
Vetenskapsradet / SUNET,[1653],5,0.00017,SE,Computer and Information Technology,Internet Service Provider (ISP)
"Fly.io, Inc.",[40509],5,0.00017,US,Computer and Information Technology,Internet Service Provider (ISP)
Eons Data Communications Limited,[138997],5,0.00017,HK,Computer and Information Technology,Internet Service Provider (ISP)
Roblox,[22697],5,0.00017,US,Computer and Information Technology,Internet Service Provider (ISP)
"Domain names registrar REG.RU, Ltd",[197695],5,0.00017,RU,Computer and Information Technology,None
Free SAS,[12322],5,0.00017,FR,Computer and Information Technology,Internet Service Provider (ISP)
Verizon Business,"[701, 6167]",5,0.00017,US,Computer and Information Technology,Internet Service Provider (ISP)
Dattatec.com,[27823],5,0.00017,AR,Computer and Information Technology,None
telematis Netzwerke GmbH,[61967],5,0.00017,DE,Computer and Information Technology,None
"Beijing Educational Information Network Service Center Co., Ltd",[9806],5,0.00017,CN,Computer and Information Technology,None
PT. Telekomunikasi Selular,[23693],5,0.00017,ID,Computer and Information Technology,Internet Service Provider (ISP)
xTom,"[6233, 949]",4,0.00013000000000000002,US,Computer and Information Technology,Hosting and Cloud Provider
National Applied Research Laboratories,[7539],4,0.00014,TW,Computer and Information Technology,None
MAYBANK Data Center (Co-Location),"[45430, 131445]",4,0.00014,TH,Computer and Information Technology,Internet Service Provider (ISP)
ipcom GmbH,[1921],4,0.00014,AT,Computer and Information Technology,None
eTOP sp. z o.o.,[20853],4,0.00014,PL,Computer and Information Technology,Internet Service Provider (ISP)
NTX Technologies s.r.o.,[50113],4,0.00014,CZ,Computer and Information Technology,Internet Service Provider (ISP)
"Chunghwa Telecom Co., Ltd.",[3462],4,0.00014,TW,Computer and Information Technology,Internet Service Provider (ISP)
Init7 (Switzerland) Ltd.,[13030],4,0.00014,CH,Computer and Information Technology,Internet Service Provider (ISP)
Internet Initiative Japan Inc.,[2497],4,0.00014,JP,None,None
Voxility LLP,[3223],4,0.00014,GB,Computer and Information Technology,Internet Service Provider (ISP)
RegioNet Schweinfurt GmbH,[44974],4,0.00014,DE,Computer and Information Technology,Internet Service Provider (ISP)
RADISHCLOUD TECHNOLOGY LLC,[201217],4,0.00014,US,None,None
Coriolis Telecom SAS,[60032],4,0.00014,FR,Computer and Information Technology,Internet Service Provider (ISP)
"Joe's Datacenter, LLC",[19969],4,0.00014,US,Government and Public Administration,"Military, Defense, National Security, and International Affairs"
LightWave Networks,"[12167, 26527]",4,0.00013000000000000002,US,Computer and Information Technology,Internet Service Provider (ISP)
"KNIGHT POINT SYSTEMS, LLC",[394346],4,0.00014,US,Computer and Information Technology,None
Melbikomas UAB,[56630],4,0.00014,LT,Computer and Information Technology,None
KEVAG Telekom GmbH,[12360],4,0.00014,DE,Computer and Information Technology,Internet Service Provider (ISP)
Telfly Technology Limited,[41717],4,0.00014,HK,None,None
INTERKVM HOST SRL,[25198],4,0.00014,RO,Computer and Information Technology,Internet Service Provider (ISP)
SatGate LLC,[30721],4,0.00014,RU,Computer and Information Technology,Internet Service Provider (ISP)
Hot-Net internet services Ltd.,[12849],4,0.00014,IL,Computer and Information Technology,Internet Service Provider (ISP)
