org_name,org_alias_num,org_all_num,org_ratio,sta_org_alias_num,sta_org_all_num,sat_org_ratio,as
20i Limited,2,4395,0.0004550625711035267,3.1e-05,1394.5556035637856,2.2229303672639177e-08,[48254]
21vianet(China) Inc.,3,26456,0.00011339582703356516,0.0,87.32849692482083,0.0,[17428]
23M GmbH,2,30851,6.482772033321449e-05,1.0,1481.8841004886065,0.0006748166065553171,[47447]
24 SHELLS,15,30851,0.0004862079024991086,2.7e-05,1481.8841004886065,1.8220048376993562e-08,[55081]
34SP.com Limited,1,26456,3.779860901118839e-05,0.0,87.32849692482083,0.0,[41357]
3xK Tech GmbH,9,4395,0.0020477815699658703,9.0,1394.5556035637856,0.006453668808185567,"[200373, 198571]"
AEZA INTERNATIONAL LTD,3,26456,0.00011339582703356516,3.0,87.32849692482083,0.03435304746608239,[210644]
AKILE LTD,2,4395,0.0004550625711035267,0.003922,1394.5556035637856,2.812365451744866e-06,[61112]
ALKON SAS,3,26456,0.00011339582703356516,0.0,87.32849692482083,0.0,[266768]
ANS ACADEMY LIMITED,5,30851,0.0001620693008330362,1.5e-05,1481.8841004886065,1.0122249098329758e-08,[61323]
ARLINK S.A.,2,26456,7.559721802237678e-05,0.0,87.32849692482083,0.0,[28075]
ARTERIA Networks Corporation,1,26456,3.779860901118839e-05,0.0,87.32849692482083,0.0,[2519]
"AT&T Services, Inc.",3,4395,0.0006825938566552901,3.0,1394.5556035637856,0.0021512229360618556,[7018]
Adrian Paschkowski,1,4395,0.00022753128555176336,0.003906,1394.5556035637856,2.800892262752536e-06,[205987]
Akamai International B.V.,9556,30851,0.3097468477520988,0.039139,1481.8841004886065,2.6411647163968558e-05,[33905]
"Akamai Technologies, Inc.",1192,30851,0.03863732131859583,0.017303,1481.8841004886065,1.1676351743226652e-05,"[36183, 16625]"
Akenes SA,1,26456,3.779860901118839e-05,0.0,87.32849692482083,0.0,[61098]
Al Asmary Abdullah Ibrahim A,3,4395,0.0006825938566552901,3.0,1394.5556035637856,0.0021512229360618556,[210499]
"Alibaba (US) Technology Co., Ltd.",2,4395,0.0004550625711035267,3.1e-05,1394.5556035637856,2.2229303672639177e-08,[37963]
Alliance LLC,3,4395,0.0006825938566552901,4.6e-05,1394.5556035637856,3.298541835294845e-08,[39900]
Allo Communications LLC,1,26456,3.779860901118839e-05,0.0,87.32849692482083,0.0,[15108]
Altinea SAS,52,26456,0.001965527668581796,0.085693,87.32849692482083,0.0009812718988369995,[41405]
AltusHost B.V.,10,30851,0.0003241386016660724,3e-05,1481.8841004886065,2.0244498196659516e-08,[51430]
"Amazon.com, Inc.",6085,30851,0.19723833911380506,0.020759999999999997,1481.8841004886065,1.4009192752088382e-05,[16509]
"Anthropic, PBC",1,4395,0.00022753128555176336,1.5e-05,1394.5556035637856,1.0756114680309279e-08,[399358]
Aperture Science Limited,2,4395,0.0004550625711035267,3.1e-05,1394.5556035637856,2.2229303672639177e-08,[38008]
Arcade Solutions AG,8,26456,0.0003023888720895071,0.0,87.32849692482083,0.0,[51873]
Arcus Novus UAB,1,4395,0.00022753128555176336,1.0,1394.5556035637856,0.0007170743120206186,[51259]
Arelion Sweden AB,73,26456,0.0027592984578167523,0.0,87.32849692482083,0.0,[1299]
Art of Automation B.V.,1,26456,3.779860901118839e-05,0.0,87.32849692482083,0.0,[60893]
ArtPlanet LLC,7,30851,0.00022689702116625068,6.0,1481.8841004886065,0.004048899639331902,[49542]
Artfiles LLC,1,4395,0.00022753128555176336,1.5e-05,1394.5556035637856,1.0756114680309279e-08,[394923]
"Ashton Holmes, Sole Proprietorship",12,30851,0.0003889663219992869,3.1e-05,1481.8841004886065,2.0919314803214832e-08,[33760]
Astute Internet,1,4395,0.00022753128555176336,1.5e-05,1394.5556035637856,1.0756114680309279e-08,[63213]
"Atria Convergence Technologies Pvt. Ltd.,",14,26456,0.0005291805261566374,0.0,87.32849692482083,0.0,[24309]
BAI Communications Inc.,1,4395,0.00022753128555176336,1.0,1394.5556035637856,0.0007170743120206186,[396113]
BIT BV,1,26456,3.779860901118839e-05,0.0,87.32849692482083,0.0,[12859]
BWE CAPITAL LIMITED,3,30851,9.724158049982173e-05,0.007812,1481.8841004886065,5.271667330410138e-06,[197730]
Bach Kim Network solutions Join stock company,2,26456,7.559721802237678e-05,0.0,87.32849692482083,0.0,[135967]
Baoshuo Network,1,4395,0.00022753128555176336,0.0625,1394.5556035637856,4.481714450128866e-05,[151814]
