as,as_alias_num,as_all_num,as_ratio,sta_as_alias_num,sta_as_all_num,sat_as_ratio,org_name
38,3,26105,0.00011492051331162612,0.0,82.328679,0.0,University of Illinois
174,8,31212,0.0002563116749967961,0.015656,3672.36292,4.263195207297213e-06,Cogent Communications
203,1,5107,0.00019580967299784609,1.5e-05,3590.034241,4.178233129002627e-09,"Level 3 Parent, LLC"
513,1,26105,3.830683777054204e-05,0.0,82.328679,0.0,CERN - European Organization for Nuclear Research
577,30,26105,0.0011492051331162612,8e-06,82.328679,9.717148504229007e-08,Bell Canada
680,2,26105,7.661367554108408e-05,0.0,82.328679,0.0,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
701,1,26105,3.830683777054204e-05,0.0,82.328679,0.0,Verizon Business
812,40,26105,0.0015322735108216816,0.0,82.328679,0.0,Rogers Communications Canada Inc.
835,1,26105,3.830683777054204e-05,1.5e-05,82.328679,1.821965344542939e-07,GoCodeIT Inc
852,25,26105,0.000957670944263551,0.0,82.328679,0.0,TELUS Communications Inc.
906,1,26105,3.830683777054204e-05,0.0,82.328679,0.0,DMIT Cloud Services
924,2,5107,0.00039161934599569217,0.125,3590.034241,3.4818609408355225e-05,Cloudie Networks LLC
945,1,5107,0.00019580967299784609,1.0,3590.034241,0.0002785488752668418,hkgo LLC
949,7,5107,0.0013706677109849227,16.000092,3590.034241,0.0044568076307659925,xTom
1221,40,26105,0.0015322735108216816,0.0,82.328679,0.0,Telstra Corporation Limited
1239,2,5107,0.00039161934599569217,2.0,3590.034241,0.0005570977505336836,Sprint
1257,1,26105,3.830683777054204e-05,0.0,82.328679,0.0,Tele2 Sverige AB
1299,73,26105,0.002796399157249569,0.0,82.328679,0.0,Arelion Sweden AB
1547,9,26105,0.0003447615399348784,0.0,82.328679,0.0,"Societatea mixta pe actiuni de tip inchis ""Interdnestrcom"""
1659,10,26105,0.0003830683777054204,8e-06,82.328679,9.717148504229007e-08,National Chung Hsing University
1680,1,26105,3.830683777054204e-05,0.0,82.328679,0.0,Cellcom Fixed Line Communication L.P
1764,1,5107,0.00019580967299784609,1.0,3590.034241,0.0002785488752668418,Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH
1930,17,26105,0.0006512162420992147,0.0,82.328679,0.0,"Fundacao para a Ciencia e a Tecnologia, I.P."
1955,1,26105,3.830683777054204e-05,0.0,82.328679,0.0,KIFU (Governmental Info Tech Development Agency)
2027,1,5107,0.00019580967299784609,1.0,3590.034241,0.0002785488752668418,MilkyWan Association
2497,4,26105,0.00015322735108216817,0.0,82.328679,0.0,Internet Initiative Japan Inc.
2519,1,26105,3.830683777054204e-05,0.0,82.328679,0.0,ARTERIA Networks Corporation
2527,1,26105,3.830683777054204e-05,0.0,82.328679,0.0,Sony Network Communications Inc.
2860,11,26105,0.00042137521547596247,0.0,82.328679,0.0,"NOS COMUNICACOES, S.A."
3175,3,5107,0.0005874290189935383,3.0,3590.034241,0.0008356466258005253,Citytelecom LLC
3177,1,5107,0.00019580967299784609,16.0,3590.034241,0.004456782004269469,Visparad Web Hosting Service LLC
3214,3,26105,0.00011492051331162612,0.0,82.328679,0.0,xTom GmbH
3292,3,26105,0.00011492051331162612,0.0,82.328679,0.0,TDC Holding A/S
3303,15,26105,0.0005746025665581306,0.0,82.328679,0.0,Swisscom (Schweiz) AG
