org_name,as,number of aliased prefix,ratio of aliased prefix,country,category,sub_category
Akamai International B.V.,"[20940, 21342]",9903,0.32786,NL,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
"Amazon.com, Inc.",[16509],5635,0.18656,US,Computer and Information Technology,Hosting and Cloud Provider
"Facebook, Inc.",[32934],1984,0.06568,US,"Retail Stores, Wholesale, and E-commerce Sites",None
Google LLC,"[36492, 15169, 396982]",1835,0.06075,US,Computer and Information Technology,Software Development
"Cloudflare, Inc.","[13335, 395747]",1425,0.04718,US,Computer and Information Technology,Hosting and Cloud Provider
Hostinger International Limited,[47583],976,0.03231,CY,Computer and Information Technology,Software Development
"The Constant Company, LLC",[20473],812,0.02688,US,Computer and Information Technology,Internet Service Provider (ISP)
Hurricane Electric LLC,[6939],708,0.02344,US,Computer and Information Technology,Internet Service Provider (ISP)
Claro NXT Telecomunicacoes Ltda,[28573],316,0.01046,BR,Computer and Information Technology,Internet Service Provider (ISP)
wilhelm.tel GmbH,[15943],302,0.01,DE,Computer and Information Technology,Internet Service Provider (ISP)
Incapsula Inc,[19551],249,0.00824,US,Computer and Information Technology,Computer and Network Security
Combell NV,[34762],214,0.00708,BE,Computer and Information Technology,Software Development
VisualViet Company Limited,[135981],179,0.00593,VN,Computer and Information Technology,Internet Service Provider (ISP)
M247 Europe SRL,[9009],177,0.00586,RO,Computer and Information Technology,Internet Service Provider (ISP)
Free Range Cloud Hosting Inc.,[53356],170,0.00563,CA,Computer and Information Technology,Internet Service Provider (ISP)
UK-2 Limited,[13213],170,0.00563,GB,Computer and Information Technology,Hosting and Cloud Provider
HOSTKEY,[395839],168,0.00556,US,Computer and Information Technology,Phone Provider
Deutsche Glasfaser Wholesale GmbH,[60294],163,0.0054,DE,Computer and Information Technology,Internet Service Provider (ISP)
"RACKTECH CO., LTD.",[204916],160,0.0053,TH,None,None
"Leaseweb USA, Inc.",[30633],140,0.00463,US,Computer and Information Technology,Internet Service Provider (ISP)
"Akamai Technologies, Inc.","[36183, 63949, 16625]",127,0.004200000000000001,US,Computer and Information Technology,Computer and Network Security
Rumahweb,[58487],126,0.00417,ID,Computer and Information Technology,Internet Service Provider (ISP)
Telefonica Germany GmbH & Co.OHG,[6805],122,0.00404,DE,Computer and Information Technology,Internet Service Provider (ISP)
PT XL Axiata Tbk,[24203],93,0.00308,ID,Computer and Information Technology,Internet Service Provider (ISP)
"Grupo Loading Systems, S.L.",[198066],91,0.00301,ES,Computer and Information Technology,Internet Service Provider (ISP)
Bharti Airtel Limited,"[9498, 45609, 24560]",82,0.00271,IN,Computer and Information Technology,Internet Service Provider (ISP)
Groupe LWS SARL,[210403],81,0.00268,FR,None,None
Datacamp Limited,"[212238, 60068]",78,0.00258,GB,Computer and Information Technology,Internet Service Provider (ISP)
Performive LLC,[46562],74,0.00245,US,Computer and Information Technology,Internet Service Provider (ISP)
Arelion Sweden AB,[1299],73,0.00242,SE,Computer and Information Technology,Internet Service Provider (ISP)
NetCologne Gesellschaft fur Telekommunikation mbH,[8422],63,0.00209,DE,Computer and Information Technology,Internet Service Provider (ISP)
TELECOM ITALIA SPARKLE S.p.A.,[6762],63,0.00209,IT,Computer and Information Technology,Internet Service Provider (ISP)
Reliance Jio Infocomm Limited,[55836],61,0.00202,IN,Computer and Information Technology,Internet Service Provider (ISP)
"Comcast Cable Communications, LLC",[7922],59,0.00195,US,Computer and Information Technology,Internet Service Provider (ISP)
Bouygues Telecom SA,[5410],59,0.00195,FR,Computer and Information Technology,Internet Service Provider (ISP)
CONTRUST SOLUTIONS S.R.L.,[205745],58,0.00192,MD,None,None
RETN Limited,[9002],58,0.00192,GB,Computer and Information Technology,Internet Service Provider (ISP)
LeaseWeb Netherlands B.V.,[60781],57,0.00189,NL,Computer and Information Technology,None
Altinea SAS,[41405],52,0.00172,FR,Computer and Information Technology,None
"IT business solutions, MB",[205227],50,0.00166,LT,Computer and Information Technology,Hosting and Cloud Provider
PrivateSystems Networks,[63410],50,0.00166,US,Computer and Information Technology,Internet Service Provider (ISP)
CHINA UNICOM Industrial Internet Backbone,"[4837, 9929]",48,0.00159,CN,Computer and Information Technology,Internet Service Provider (ISP)
Vietnam Posts and Telecommunications (VNPT),[45899],48,0.00159,VN,Computer and Information Technology,Internet Service Provider (ISP)
I-SERVERS LTD,[209641],47,0.00156,GB,Education and Research,None
"Getechbrothers, MB","[216349, 202044]",45,0.00149,LT,None,None
Delta Ltd,[213220],43,0.00142,RU,Computer and Information Technology,Internet Service Provider (ISP)
Latitude.sh,[396356],42,0.00139,US,Computer and Information Technology,Internet Service Provider (ISP)
InnoGames GmbH,[208058],42,0.00139,DE,"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",None
Telstra Corporation Limited,[1221],41,0.00136,AU,Service,"Law, Business, and Consulting Services"
Bharat Sanchar Nigam Ltd,[9829],40,0.00132,IN,Computer and Information Technology,Internet Service Provider (ISP)
Rogers Communications Canada Inc.,[812],40,0.00132,CA,Computer and Information Technology,Internet Service Provider (ISP)
Megacore Technology Company Limited,[140810],38,0.00126,VN,Computer and Information Technology,Internet Service Provider (ISP)
China Mobile,"[24547, 9808, 24400, 24444]",38,0.0012500000000000002,CN,Computer and Information Technology,Internet Service Provider (ISP)
"GALAXYGATE, LLC",[397031],37,0.00122,US,Other,None
Latitude.sh LTDA,[262287],36,0.00119,BR,Computer and Information Technology,Hosting and Cloud Provider
Republican Unitary Telecommunication Enterprise Beltelecom,[6697],35,0.00116,BY,Computer and Information Technology,Internet Service Provider (ISP)
SIXNET OPERATION LTD,[198231],35,0.00116,GB,None,None
Triple T Broadband Public Company Limited,[45758],34,0.00113,TH,Computer and Information Technology,Internet Service Provider (ISP)
