as,number of aliased prefix,ratio of aliased prefix,org_name,country,category,sub_category
20940,10116,0.34442,Akamai International B.V.,NL,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
16509,5671,0.19308,"Amazon.com, Inc.",US,Computer and Information Technology,Hosting and Cloud Provider
32934,1984,0.06755,"Facebook, Inc.",US,"Retail Stores, Wholesale, and E-commerce Sites",None
36492,1552,0.05284,Google LLC,US,Computer and Information Technology,Software Development
13335,1408,0.04794,"Cloudflare, Inc.",US,Computer and Information Technology,Hosting and Cloud Provider
47583,970,0.03303,Hostinger International Limited,CY,Computer and Information Technology,Software Development
20473,729,0.02482,"The Constant Company, LLC",US,Computer and Information Technology,Internet Service Provider (ISP)
6939,695,0.02366,Hurricane Electric LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
15169,278,0.00947,Google LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
15943,272,0.00926,wilhelm.tel GmbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
28573,237,0.00807,Claro NXT Telecomunicacoes Ltda,BR,Computer and Information Technology,Internet Service Provider (ISP)
19551,233,0.00793,Incapsula Inc,US,Computer and Information Technology,Computer and Network Security
58487,229,0.0078,Rumahweb,ID,Computer and Information Technology,Internet Service Provider (ISP)
34762,213,0.00725,Combell NV,BE,Computer and Information Technology,Software Development
135981,179,0.00609,VisualViet Company Limited,VN,Computer and Information Technology,Internet Service Provider (ISP)
9009,175,0.00596,M247 Europe SRL,RO,Computer and Information Technology,Internet Service Provider (ISP)
13213,169,0.00575,UK-2 Limited,GB,Computer and Information Technology,Hosting and Cloud Provider
395839,167,0.00569,HOSTKEY,US,Computer and Information Technology,Phone Provider
60294,154,0.00524,Deutsche Glasfaser Wholesale GmbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
6805,122,0.00415,Telefonica Germany GmbH & Co.OHG,DE,Computer and Information Technology,Internet Service Provider (ISP)
7713,100,0.0034,Telekomunikasi Indonesia (PT),ID,Computer and Information Technology,Internet Service Provider (ISP)
24203,93,0.00317,PT XL Axiata Tbk,ID,Computer and Information Technology,Internet Service Provider (ISP)
30633,89,0.00303,"Leaseweb USA, Inc.",US,Computer and Information Technology,Internet Service Provider (ISP)
46562,78,0.00266,Performive LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
1299,73,0.00249,Arelion Sweden AB,SE,Computer and Information Technology,Internet Service Provider (ISP)
8422,65,0.00221,NetCologne Gesellschaft fur Telekommunikation mbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
6762,63,0.00214,TELECOM ITALIA SPARKLE S.p.A.,IT,Computer and Information Technology,Internet Service Provider (ISP)
55836,59,0.00201,Reliance Jio Infocomm Limited,IN,Computer and Information Technology,Internet Service Provider (ISP)
9002,57,0.00194,RETN Limited,GB,Computer and Information Technology,Internet Service Provider (ISP)
7922,54,0.00184,"Comcast Cable Communications, LLC",US,Computer and Information Technology,Internet Service Provider (ISP)
