as,as_alias_num,as_all_num,as_ratio,sta_as_alias_num,sta_as_all_num,sat_as_ratio,org_name
38,3,26501,0.00011320327534810007,0.0,89.328721,0.0,University of Illinois
174,9,30903,0.00029123386079021456,0.015656,1476.8259440000002,1.0601113871006046e-05,['Cogent Communications' 'Cogent Communications']
513,1,26501,3.773442511603336e-05,0.0,89.328721,0.0,CERN - European Organization for Nuclear Research
577,30,26501,0.0011320327534810007,8e-06,89.328721,8.955686268025711e-08,Bell Canada
680,2,26501,7.546885023206672e-05,0.0,89.328721,0.0,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
701,1,26501,3.773442511603336e-05,0.0,89.328721,0.0,Verizon Business
812,40,26501,0.0015093770046413343,0.0,89.328721,0.0,Rogers Communications Canada Inc.
835,1,26501,3.773442511603336e-05,1.5e-05,89.328721,1.679191175254821e-07,GoCodeIT Inc
852,25,26501,0.0009433606279008339,0.0,89.328721,0.0,TELUS Communications Inc.
906,1,26501,3.773442511603336e-05,0.0,89.328721,0.0,DMIT Cloud Services
949,6,4402,0.0013630168105406633,9.2e-05,1387.497223,6.630643901476118e-08,xTom
1221,40,26501,0.0015093770046413343,0.0,89.328721,0.0,Telstra Corporation Limited
1239,2,4402,0.00045433893684688776,2.0,1387.497223,0.0014414443264078518,Sprint
1257,1,26501,3.773442511603336e-05,0.0,89.328721,0.0,Tele2 Sverige AB
1299,73,26501,0.002754613033470435,0.0,89.328721,0.0,Arelion Sweden AB
1547,8,26501,0.0003018754009282669,0.0,89.328721,0.0,"Societatea mixta pe actiuni de tip inchis ""Interdnestrcom"""
1659,10,26501,0.0003773442511603336,8e-06,89.328721,8.955686268025711e-08,National Chung Hsing University
1680,1,26501,3.773442511603336e-05,0.0,89.328721,0.0,Cellcom Fixed Line Communication L.P
1930,17,26501,0.0006414852269725671,0.0,89.328721,0.0,"Fundacao para a Ciencia e a Tecnologia, I.P."
1955,1,26501,3.773442511603336e-05,0.0,89.328721,0.0,KIFU (Governmental Info Tech Development Agency)
2497,4,26501,0.00015093770046413344,0.0,89.328721,0.0,Internet Initiative Japan Inc.
2519,1,26501,3.773442511603336e-05,0.0,89.328721,0.0,ARTERIA Networks Corporation
2527,1,26501,3.773442511603336e-05,0.0,89.328721,0.0,Sony Network Communications Inc.
2860,11,26501,0.0004150786762763669,0.0,89.328721,0.0,"NOS COMUNICACOES, S.A."
3175,3,4402,0.0006815084052703317,3.0,1387.497223,0.002162166489611778,Citytelecom LLC
3214,3,26501,0.00011320327534810007,0.0,89.328721,0.0,xTom GmbH
3292,3,26501,0.00011320327534810007,0.0,89.328721,0.0,TDC Holding A/S
3303,15,26501,0.0005660163767405004,0.0,89.328721,0.0,Swisscom (Schweiz) AG
3320,2,26501,7.546885023206672e-05,0.0,89.328721,0.0,Deutsche Telekom AG
3389,12,26501,0.00045281310139240027,0.0,89.328721,0.0,Ford Motor Company
3462,3,26501,0.00011320327534810007,0.0,89.328721,0.0,"Chunghwa Telecom Co., Ltd."
3741,9,26501,0.00033960982604430023,0.0,89.328721,0.0,Dimension Data
4134,13,26501,0.0004905475265084337,0.0,89.328721,0.0,"No.31,Jin-rong Street"
4230,1,26501,3.773442511603336e-05,0.0,89.328721,0.0,CLARO S.A.
4538,2,30903,6.471863573115878e-05,1.0,1476.8259440000002,0.0006771278660581276,"['China Education and Research Network Center'
 'China Education and Research Network Center']"
4637,13,26501,0.0004905475265084337,0.0,89.328721,0.0,Telstra International Limited
4651,19,26501,0.0007169540772046338,0.0,89.328721,0.0,CAT Telecom Public Company Limited
4657,19,30903,0.0006148270394460085,0.0,1476.8259440000002,0.0,['Starhub Ltd.' 'Starhub Ltd.']
4761,3,4402,0.0006815084052703317,0.0,1387.497223,0.0,PT. INDOSAT Tbk
4788,12,30903,0.00038831181438695275,0.0,1476.8259440000002,0.0,['TM TECHNOLOGY SERVICES SDN BHD' 'TM TECHNOLOGY SERVICES SDN BHD']
4808,1,26501,3.773442511603336e-05,0.0,89.328721,0.0,China Unicom
4811,2,26501,7.546885023206672e-05,0.0,89.328721,0.0,China Telecom (Group)
4812,1,26501,3.773442511603336e-05,0.0,89.328721,0.0,China Telecom (Group)
4835,2,26501,7.546885023206672e-05,0.0,89.328721,0.0,China Telecom (Group)
4837,42,26501,0.0015848458548734011,0.0,89.328721,0.0,CHINA UNICOM Industrial Internet Backbone
5410,21,26501,0.0007924229274367006,8e-06,89.328721,8.955686268025711e-08,Bouygues Telecom SA
5432,31,26501,0.001169767178597034,0.0,89.328721,0.0,Proximus NV
5606,31,26501,0.001169767178597034,0.0,89.328721,0.0,GTS Telecom SRL
6233,3,26501,0.00011320327534810007,0.0,89.328721,0.0,xTom
6315,1,26501,3.773442511603336e-05,1.5e-05,89.328721,1.679191175254821e-07,"XMission, L.C."
6369,1,4402,0.00022716946842344388,1.5e-05,1387.497223,1.0810832448058889e-08,Netrunner Inc
6697,33,26501,0.0012452360288291008,0.0,89.328721,0.0,Republican Unitary Telecommunication Enterprise Beltelecom
6718,2,26501,7.546885023206672e-05,0.0,89.328721,0.0,NAV COMMUNICATIONS SRL
6724,1,26501,3.773442511603336e-05,0.0,89.328721,0.0,Strato AG
6762,65,30903,0.0021033556612626604,0.0,1476.8259440000002,0.0,['TELECOM ITALIA SPARKLE S.p.A.' 'TELECOM ITALIA SPARKLE S.p.A.']
6805,114,26501,0.004301724463227802,0.0,89.328721,0.0,Telefonica Germany GmbH & Co.OHG
6939,579,30903,0.01873604504417047,0.062532,1476.8259440000002,4.234215972034684e-05,['Hurricane Electric LLC' 'Hurricane Electric LLC']
7018,3,4402,0.0006815084052703317,3.0,1387.497223,0.002162166489611778,"AT&T Services, Inc."
7679,15,26501,0.0005660163767405004,0.0,89.328721,0.0,"QTnet,Inc."
7922,44,26501,0.0016603147051054677,0.0,89.328721,0.0,"Comcast Cable Communications, LLC"
8100,9,26501,0.00033960982604430023,5e-06,89.328721,5.59730391751607e-08,QuadraNet Enterprises LLC
8342,8,26501,0.0003018754009282669,0.0,89.328721,0.0,JSC RTComm.RU
