org_name,as,number of aliased prefix,ratio of aliased prefix,country,category,sub_category
Akamai International B.V.,"[20940, 21342]",9833,0.33991,NL,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
"Amazon.com, Inc.",[16509],5620,0.19428,US,Computer and Information Technology,Hosting and Cloud Provider
"Facebook, Inc.",[32934],1950,0.06741,US,"Retail Stores, Wholesale, and E-commerce Sites",None
Google LLC,"[36492, 15169, 396982]",1835,0.06344,US,Computer and Information Technology,Software Development
"Cloudflare, Inc.","[13335, 395747]",1413,0.048839999999999995,US,Computer and Information Technology,Hosting and Cloud Provider
Hostinger International Limited,[47583],969,0.0335,CY,Computer and Information Technology,Software Development
"The Constant Company, LLC",[20473],745,0.02575,US,Computer and Information Technology,Internet Service Provider (ISP)
Hurricane Electric LLC,[6939],685,0.02368,US,Computer and Information Technology,Internet Service Provider (ISP)
wilhelm.tel GmbH,[15943],262,0.00906,DE,Computer and Information Technology,Internet Service Provider (ISP)
Claro NXT Telecomunicacoes Ltda,[28573],242,0.00837,BR,Computer and Information Technology,Internet Service Provider (ISP)
Incapsula Inc,[19551],233,0.00805,US,Computer and Information Technology,Computer and Network Security
Combell NV,[34762],214,0.0074,BE,Computer and Information Technology,Software Development
VisualViet Company Limited,[135981],179,0.00619,VN,Computer and Information Technology,Internet Service Provider (ISP)
M247 Europe SRL,[9009],176,0.00608,RO,Computer and Information Technology,Internet Service Provider (ISP)
UK-2 Limited,[13213],168,0.00581,GB,Computer and Information Technology,Hosting and Cloud Provider
HOSTKEY,[395839],167,0.00577,US,Computer and Information Technology,Phone Provider
Deutsche Glasfaser Wholesale GmbH,[60294],151,0.00522,DE,Computer and Information Technology,Internet Service Provider (ISP)
Rumahweb,[58487],126,0.00436,ID,Computer and Information Technology,Internet Service Provider (ISP)
"Akamai Technologies, Inc.","[36183, 63949, 16625]",120,0.00415,US,Computer and Information Technology,Computer and Network Security
Telefonica Germany GmbH & Co.OHG,[6805],119,0.00411,DE,Computer and Information Technology,Internet Service Provider (ISP)
"Leaseweb USA, Inc.",[30633],107,0.0037,US,Computer and Information Technology,Internet Service Provider (ISP)
PT XL Axiata Tbk,[24203],93,0.00321,ID,Computer and Information Technology,Internet Service Provider (ISP)
Bharti Airtel Limited,"[9498, 45609, 24560]",82,0.0028300000000000005,IN,Computer and Information Technology,Internet Service Provider (ISP)
Arelion Sweden AB,[1299],73,0.00252,SE,Computer and Information Technology,Internet Service Provider (ISP)
Performive LLC,[46562],71,0.00245,US,Computer and Information Technology,Internet Service Provider (ISP)
NetCologne Gesellschaft fur Telekommunikation mbH,[8422],65,0.00225,DE,Computer and Information Technology,Internet Service Provider (ISP)
TELECOM ITALIA SPARKLE S.p.A.,[6762],63,0.00218,IT,Computer and Information Technology,Internet Service Provider (ISP)
Reliance Jio Infocomm Limited,[55836],60,0.00207,IN,Computer and Information Technology,Internet Service Provider (ISP)
Bouygues Telecom SA,[5410],59,0.00204,FR,Computer and Information Technology,Internet Service Provider (ISP)
RETN Limited,[9002],58,0.002,GB,Computer and Information Technology,Internet Service Provider (ISP)
Datacamp Limited,"[212238, 60068]",57,0.00197,GB,Computer and Information Technology,Internet Service Provider (ISP)
"Comcast Cable Communications, LLC",[7922],53,0.00183,US,Computer and Information Technology,Internet Service Provider (ISP)
LeaseWeb Netherlands B.V.,[60781],49,0.00169,NL,Computer and Information Technology,None
PrivateSystems Networks,[63410],49,0.00169,US,Computer and Information Technology,Internet Service Provider (ISP)
Altinea SAS,[41405],47,0.00162,FR,Computer and Information Technology,None
Vietnam Posts and Telecommunications (VNPT),[45899],47,0.00162,VN,Computer and Information Technology,Internet Service Provider (ISP)
CHINA UNICOM Industrial Internet Backbone,"[4837, 9929]",47,0.00163,CN,Computer and Information Technology,Internet Service Provider (ISP)
I-SERVERS LTD,[209641],44,0.00152,GB,Education and Research,None
InnoGames GmbH,[208058],42,0.00145,DE,"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",None
Latitude.sh,[396356],42,0.00145,US,Computer and Information Technology,Internet Service Provider (ISP)
