org_name,as,number of aliased prefix,ratio of aliased prefix,country,category,sub_category
"Amazon.com, Inc.",[16509],1225,0.27048,US,Computer and Information Technology,Hosting and Cloud Provider
"Akamai Technologies, Inc.","[36183, 16625]",1219,0.26915,US,Computer and Information Technology,Computer and Network Security
"Cloudflare, Inc.",[13335],248,0.05476,US,Computer and Information Technology,Hosting and Cloud Provider
Google LLC,[36492],221,0.0488,US,Computer and Information Technology,Software Development
Bharti Airtel Limited,[45609],165,0.03643,IN,Computer and Information Technology,Internet Service Provider (ISP)
"Fastly, Inc.",[54113],148,0.03268,US,Computer and Information Technology,Software Development
Rohmad Kumiadin,[210842],125,0.0276,ID,None,None
"RACKTECH CO., LTD.",[204916],103,0.02274,TH,None,None
Edgecast Inc.,"[15133, 14153]",89,0.01965,US,Computer and Information Technology,Internet Service Provider (ISP)
Incapsula Inc,[19551],86,0.01899,US,Computer and Information Technology,Computer and Network Security
EpicUp Holdings Inc,[397165],62,0.01369,US,Service,"Law, Business, and Consulting Services"
"Fly.io, Inc.",[40509],52,0.01148,US,Computer and Information Technology,Internet Service Provider (ISP)
Developed Methods LLC,[400519],41,0.00905,US,Service,Other
M247 Europe SRL,[9009],35,0.00773,RO,Computer and Information Technology,Internet Service Provider (ISP)
Clouvider Limited,[62240],32,0.00707,GB,Computer and Information Technology,Internet Service Provider (ISP)
IP SERVER LLC,[44812],30,0.00662,RU,Computer and Information Technology,Internet Service Provider (ISP)
Hostinger International Limited,[47583],21,0.00464,CY,Computer and Information Technology,Software Development
John Mark Gabriel Caguicla,[200866],20,0.00442,PH,Computer and Information Technology,Software Development
Kew Solutions Unipessoal Lda,"[209968, 56849, 51126, 52042]",18,0.00397,PT,Finance and Insurance,"Investment, Portfolio Management, Pensions and Funds"
PLUSWEB SUNUCU INTERNET HIZMETLERI TICARET LIMITED SIRKETI,[210107],17,0.00375,TR,Computer and Information Technology,Internet Service Provider (ISP)
"Cloudflare London, LLC",[209242],16,0.00353,US,Service,"Law, Business, and Consulting Services"
Qwilt Inc.,[20253],15,0.00331,US,Computer and Information Technology,Internet Service Provider (ISP)
"The Constant Company, LLC",[20473],15,0.00331,US,Computer and Information Technology,Internet Service Provider (ISP)
"Leaseweb USA, Inc.","[30633, 396362]",15,0.00331,US,Computer and Information Technology,Internet Service Provider (ISP)
POLONETWORK LIMITED,[151338],14,0.00309,HK,Construction and Real Estate,Buildings (Residential or Commercial)
Hivelocity Inc,[61317],13,0.00287,US,Computer and Information Technology,None
"StackPath, LLC.",[20446],13,0.00287,US,Computer and Information Technology,Internet Service Provider (ISP)
ipcom GmbH,"[1921, 207021]",13,0.00287,AT,Computer and Information Technology,None
Infosimples Ltda.,[270410],13,0.00287,BR,Education and Research,"Other Schools, Instruction, and Exam Preparation (Trade Schools, Art Schools, Driving Instruction, etc.)"
LLC Vpsville,[59504],12,0.00265,RU,Computer and Information Technology,Software Development
Kirino LLC,[41378],12,0.00265,US,Computer and Information Technology,Internet Service Provider (ISP)
Akamai International B.V.,[33905],10,0.00221,NL,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
Ferdinand Zink trading as Tube-Hosting,[49581],9,0.00199,DE,Computer and Information Technology,Software Development
3xK Tech GmbH,"[200373, 198571]",9,0.00199,DE,Computer and Information Technology,Internet Service Provider (ISP)
Dmitrii Vladimirovich Malkov,"[210695, 210852]",9,0.00199,RU,None,None
Vinters IT Ltd,[62217],9,0.00199,GB,Computer and Information Technology,None
SIXNET OPERATION LTD,[198231],9,0.00199,GB,None,None
Phan Nhat Nghi,[199925],9,0.00199,VG,Construction and Real Estate,Other
IT Express Ltd.,[47596],9,0.00199,UA,Service,"Law, Business, and Consulting Services"
