as,number of aliased prefix,ratio of aliased prefix,org_name,country,category,sub_category
20940,9830,0.33981,Akamai International B.V.,NL,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
16509,5620,0.19428,"Amazon.com, Inc.",US,Computer and Information Technology,Hosting and Cloud Provider
32934,1950,0.06741,"Facebook, Inc.",US,"Retail Stores, Wholesale, and E-commerce Sites",None
36492,1553,0.05369,Google LLC,US,Computer and Information Technology,Software Development
13335,1408,0.04867,"Cloudflare, Inc.",US,Computer and Information Technology,Hosting and Cloud Provider
47583,969,0.0335,Hostinger International Limited,CY,Computer and Information Technology,Software Development
20473,745,0.02575,"The Constant Company, LLC",US,Computer and Information Technology,Internet Service Provider (ISP)
6939,685,0.02368,Hurricane Electric LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
15169,278,0.00961,Google LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
15943,262,0.00906,wilhelm.tel GmbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
28573,242,0.00837,Claro NXT Telecomunicacoes Ltda,BR,Computer and Information Technology,Internet Service Provider (ISP)
19551,233,0.00805,Incapsula Inc,US,Computer and Information Technology,Computer and Network Security
34762,214,0.0074,Combell NV,BE,Computer and Information Technology,Software Development
135981,179,0.00619,VisualViet Company Limited,VN,Computer and Information Technology,Internet Service Provider (ISP)
9009,176,0.00608,M247 Europe SRL,RO,Computer and Information Technology,Internet Service Provider (ISP)
13213,168,0.00581,UK-2 Limited,GB,Computer and Information Technology,Hosting and Cloud Provider
395839,167,0.00577,HOSTKEY,US,Computer and Information Technology,Phone Provider
60294,151,0.00522,Deutsche Glasfaser Wholesale GmbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
58487,126,0.00436,Rumahweb,ID,Computer and Information Technology,Internet Service Provider (ISP)
6805,119,0.00411,Telefonica Germany GmbH & Co.OHG,DE,Computer and Information Technology,Internet Service Provider (ISP)
30633,107,0.0037,"Leaseweb USA, Inc.",US,Computer and Information Technology,Internet Service Provider (ISP)
24203,93,0.00321,PT XL Axiata Tbk,ID,Computer and Information Technology,Internet Service Provider (ISP)
1299,73,0.00252,Arelion Sweden AB,SE,Computer and Information Technology,Internet Service Provider (ISP)
46562,71,0.00245,Performive LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
8422,65,0.00225,NetCologne Gesellschaft fur Telekommunikation mbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
6762,63,0.00218,TELECOM ITALIA SPARKLE S.p.A.,IT,Computer and Information Technology,Internet Service Provider (ISP)
55836,60,0.00207,Reliance Jio Infocomm Limited,IN,Computer and Information Technology,Internet Service Provider (ISP)
5410,59,0.00204,Bouygues Telecom SA,FR,Computer and Information Technology,Internet Service Provider (ISP)
9002,58,0.002,RETN Limited,GB,Computer and Information Technology,Internet Service Provider (ISP)
36183,55,0.0019,"Akamai Technologies, Inc.",US,Computer and Information Technology,Computer and Network Security
7922,53,0.00183,"Comcast Cable Communications, LLC",US,Computer and Information Technology,Internet Service Provider (ISP)
60781,49,0.00169,LeaseWeb Netherlands B.V.,NL,Computer and Information Technology,None
212238,49,0.00169,Datacamp Limited,GB,Computer and Information Technology,Internet Service Provider (ISP)
63410,49,0.00169,PrivateSystems Networks,US,Computer and Information Technology,Internet Service Provider (ISP)
45899,47,0.00162,Vietnam Posts and Telecommunications (VNPT),VN,Computer and Information Technology,Internet Service Provider (ISP)
41405,47,0.00162,Altinea SAS,FR,Computer and Information Technology,None
4837,45,0.00156,CHINA UNICOM Industrial Internet Backbone,CN,Computer and Information Technology,Internet Service Provider (ISP)
209641,44,0.00152,I-SERVERS LTD,GB,Education and Research,None
9498,44,0.00152,Bharti Airtel Limited,IN,Computer and Information Technology,Internet Service Provider (ISP)
396356,42,0.00145,Latitude.sh,US,Computer and Information Technology,Internet Service Provider (ISP)
63949,42,0.00145,"Akamai Technologies, Inc.",US,Computer and Information Technology,Software Development
208058,42,0.00145,InnoGames GmbH,DE,"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",None
1221,41,0.00142,Telstra Corporation Limited,AU,Service,"Law, Business, and Consulting Services"
812,40,0.00138,Rogers Communications Canada Inc.,CA,Computer and Information Technology,Internet Service Provider (ISP)
9829,40,0.00138,Bharat Sanchar Nigam Ltd,IN,Computer and Information Technology,Internet Service Provider (ISP)
204916,39,0.00135,"RACKTECH CO., LTD.",TH,None,None
205227,38,0.00131,"IT business solutions, MB",LT,Computer and Information Technology,Hosting and Cloud Provider
140810,38,0.00131,Megacore Technology Company Limited,VN,Computer and Information Technology,Internet Service Provider (ISP)
45609,37,0.00128,Bharti Airtel Limited,IN,Computer and Information Technology,Internet Service Provider (ISP)
397031,36,0.00124,"GALAXYGATE, LLC",US,Other,None
262287,36,0.00124,Latitude.sh LTDA,BR,Computer and Information Technology,Hosting and Cloud Provider
6697,35,0.00121,Republican Unitary Telecommunication Enterprise Beltelecom,BY,Computer and Information Technology,Internet Service Provider (ISP)
45758,33,0.00114,Triple T Broadband Public Company Limited,TH,Computer and Information Technology,Internet Service Provider (ISP)
9500,31,0.00107,One New Zealand Group Limited,NZ,Computer and Information Technology,Internet Service Provider (ISP)
5606,31,0.00107,GTS Telecom SRL,RO,Computer and Information Technology,Internet Service Provider (ISP)
577,30,0.00104,Bell Canada,CA,Computer and Information Technology,Internet Service Provider (ISP)
51468,28,0.00097,One.com A/S,DK,Computer and Information Technology,None
5432,28,0.00097,Proximus NV,BE,Computer and Information Technology,Internet Service Provider (ISP)
205745,28,0.00097,CONTRUST SOLUTIONS S.R.L.,MD,None,None
213220,28,0.00097,Delta Ltd,RU,Computer and Information Technology,Internet Service Provider (ISP)
212144,25,0.00086,"trafficforce, UAB",LT,Computer and Information Technology,Software Development
9924,25,0.00086,"Taiwan Fixed Network, Telco and Network Service Provider.",TW,Computer and Information Technology,Internet Service Provider (ISP)
852,24,0.00083,TELUS Communications Inc.,CA,Computer and Information Technology,Internet Service Provider (ISP)
53667,23,0.0008,FranTech Solutions,US,Computer and Information Technology,Hosting and Cloud Provider
16625,23,0.0008,"Akamai Technologies, Inc.",US,Computer and Information Technology,Computer and Network Security
29413,22,0.00076,KOMRO Gesellschaft fuer Telekommunikation mit beschraenkter Haftung,DE,Computer and Information Technology,Internet Service Provider (ISP)
11019,21,0.00073,"HAProxy Technologies, Inc.",US,Computer and Information Technology,Computer and Network Security
24547,20,0.00069,China Mobile,CN,Computer and Information Technology,Internet Service Provider (ISP)
9381,20,0.00069,HKBN Enterprise Solutions HK Limited,HK,Computer and Information Technology,Internet Service Provider (ISP)
4134,20,0.00069,"No.31,Jin-rong Street",CN,Computer and Information Technology,Internet Service Provider (ISP)
4657,19,0.00066,Starhub Ltd.,SG,Computer and Information Technology,Internet Service Provider (ISP)
210403,19,0.00066,Groupe LWS SARL,FR,None,None
58453,19,0.00066,China Mobile International Limited,HK,Computer and Information Technology,Internet Service Provider (ISP)
4651,19,0.00066,CAT Telecom Public Company Limited,TH,Computer and Information Technology,Internet Service Provider (ISP)
56040,19,0.00066,China Mobile Communications Corporation,CN,Computer and Information Technology,Internet Service Provider (ISP)
33438,19,0.00066,"StackPath, LLC.",US,Computer and Information Technology,Computer and Network Security
