as,number of aliased prefix,ratio of aliased prefix,org_name,country,category,sub_category
20940,9781,0.33061,Akamai International B.V.,NL,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
16509,5614,0.18976,"Amazon.com, Inc.",US,Computer and Information Technology,Hosting and Cloud Provider
32934,1984,0.06706,"Facebook, Inc.",US,"Retail Stores, Wholesale, and E-commerce Sites",None
36492,1545,0.05222,Google LLC,US,Computer and Information Technology,Software Development
13335,1399,0.04729,"Cloudflare, Inc.",US,Computer and Information Technology,Hosting and Cloud Provider
47583,976,0.03299,Hostinger International Limited,CY,Computer and Information Technology,Software Development
20473,733,0.02478,"The Constant Company, LLC",US,Computer and Information Technology,Internet Service Provider (ISP)
6939,678,0.02292,Hurricane Electric LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
15943,302,0.01021,wilhelm.tel GmbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
28573,288,0.00973,Claro NXT Telecomunicacoes Ltda,BR,Computer and Information Technology,Internet Service Provider (ISP)
15169,278,0.0094,Google LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
19551,249,0.00842,Incapsula Inc,US,Computer and Information Technology,Computer and Network Security
34762,207,0.007,Combell NV,BE,Computer and Information Technology,Software Development
135981,179,0.00605,VisualViet Company Limited,VN,Computer and Information Technology,Internet Service Provider (ISP)
9009,173,0.00585,M247 Europe SRL,RO,Computer and Information Technology,Internet Service Provider (ISP)
53356,170,0.00575,Free Range Cloud Hosting Inc.,CA,Computer and Information Technology,Internet Service Provider (ISP)
395839,168,0.00568,HOSTKEY,US,Computer and Information Technology,Phone Provider
13213,166,0.00561,UK-2 Limited,GB,Computer and Information Technology,Hosting and Cloud Provider
204916,153,0.00517,"RACKTECH CO., LTD.",TH,None,None
60294,152,0.00514,Deutsche Glasfaser Wholesale GmbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
30633,140,0.00473,"Leaseweb USA, Inc.",US,Computer and Information Technology,Internet Service Provider (ISP)
58487,123,0.00416,Rumahweb,ID,Computer and Information Technology,Internet Service Provider (ISP)
6805,122,0.00412,Telefonica Germany GmbH & Co.OHG,DE,Computer and Information Technology,Internet Service Provider (ISP)
24203,93,0.00314,PT XL Axiata Tbk,ID,Computer and Information Technology,Internet Service Provider (ISP)
198066,83,0.00281,"Grupo Loading Systems, S.L.",ES,Computer and Information Technology,Internet Service Provider (ISP)
1299,73,0.00247,Arelion Sweden AB,SE,Computer and Information Technology,Internet Service Provider (ISP)
46562,71,0.0024,Performive LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
212238,69,0.00233,Datacamp Limited,GB,Computer and Information Technology,Internet Service Provider (ISP)
36183,62,0.0021,"Akamai Technologies, Inc.",US,Computer and Information Technology,Computer and Network Security
8422,62,0.0021,NetCologne Gesellschaft fur Telekommunikation mbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
6762,61,0.00206,TELECOM ITALIA SPARKLE S.p.A.,IT,Computer and Information Technology,Internet Service Provider (ISP)
5410,59,0.00199,Bouygues Telecom SA,FR,Computer and Information Technology,Internet Service Provider (ISP)
205745,58,0.00196,CONTRUST SOLUTIONS S.R.L.,MD,None,None
55836,57,0.00193,Reliance Jio Infocomm Limited,IN,Computer and Information Technology,Internet Service Provider (ISP)
60781,57,0.00193,LeaseWeb Netherlands B.V.,NL,Computer and Information Technology,None
9002,54,0.00183,RETN Limited,GB,Computer and Information Technology,Internet Service Provider (ISP)
41405,52,0.00176,Altinea SAS,FR,Computer and Information Technology,None
205227,50,0.00169,"IT business solutions, MB",LT,Computer and Information Technology,Hosting and Cloud Provider
7922,50,0.00169,"Comcast Cable Communications, LLC",US,Computer and Information Technology,Internet Service Provider (ISP)
45899,48,0.00162,Vietnam Posts and Telecommunications (VNPT),VN,Computer and Information Technology,Internet Service Provider (ISP)
210403,48,0.00162,Groupe LWS SARL,FR,None,None
209641,47,0.00159,I-SERVERS LTD,GB,Education and Research,None
63410,46,0.00155,PrivateSystems Networks,US,Computer and Information Technology,Internet Service Provider (ISP)
4837,45,0.00152,CHINA UNICOM Industrial Internet Backbone,CN,Computer and Information Technology,Internet Service Provider (ISP)
9498,44,0.00149,Bharti Airtel Limited,IN,Computer and Information Technology,Internet Service Provider (ISP)
213220,43,0.00145,Delta Ltd,RU,Computer and Information Technology,Internet Service Provider (ISP)
208058,42,0.00142,InnoGames GmbH,DE,"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",None
396356,42,0.00142,Latitude.sh,US,Computer and Information Technology,Internet Service Provider (ISP)
63949,41,0.00139,"Akamai Technologies, Inc.",US,Computer and Information Technology,Software Development
9829,40,0.00135,Bharat Sanchar Nigam Ltd,IN,Computer and Information Technology,Internet Service Provider (ISP)
812,40,0.00135,Rogers Communications Canada Inc.,CA,Computer and Information Technology,Internet Service Provider (ISP)
216349,39,0.00132,"Getechbrothers, MB",LT,None,None
1221,38,0.00128,Telstra Corporation Limited,AU,Service,"Law, Business, and Consulting Services"
140810,37,0.00125,Megacore Technology Company Limited,VN,Computer and Information Technology,Internet Service Provider (ISP)
45609,37,0.00125,Bharti Airtel Limited,IN,Computer and Information Technology,Internet Service Provider (ISP)
262287,36,0.00122,Latitude.sh LTDA,BR,Computer and Information Technology,Hosting and Cloud Provider
6697,35,0.00118,Republican Unitary Telecommunication Enterprise Beltelecom,BY,Computer and Information Technology,Internet Service Provider (ISP)
198231,34,0.00115,SIXNET OPERATION LTD,GB,None,None
397031,33,0.00112,"GALAXYGATE, LLC",US,Other,None
5606,31,0.00105,GTS Telecom SRL,RO,Computer and Information Technology,Internet Service Provider (ISP)
211298,31,0.00105,Constantine Cybersecurity Ltd.,GB,Computer and Information Technology,None
9500,31,0.00105,One New Zealand Group Limited,NZ,Computer and Information Technology,Internet Service Provider (ISP)
210107,31,0.00105,PLUSWEB SUNUCU INTERNET HIZMETLERI TICARET LIMITED SIRKETI,TR,Computer and Information Technology,Internet Service Provider (ISP)
5432,31,0.00105,Proximus NV,BE,Computer and Information Technology,Internet Service Provider (ISP)
577,30,0.00101,Bell Canada,CA,Computer and Information Technology,Internet Service Provider (ISP)
45758,29,0.00098,Triple T Broadband Public Company Limited,TH,Computer and Information Technology,Internet Service Provider (ISP)
212144,27,0.00091,"trafficforce, UAB",LT,Computer and Information Technology,Software Development
51468,24,0.00081,One.com A/S,DK,Computer and Information Technology,None
16625,23,0.00078,"Akamai Technologies, Inc.",US,Computer and Information Technology,Computer and Network Security
29413,22,0.00074,KOMRO Gesellschaft fuer Telekommunikation mit beschraenkter Haftung,DE,Computer and Information Technology,Internet Service Provider (ISP)
53667,22,0.00074,FranTech Solutions,US,Computer and Information Technology,Hosting and Cloud Provider
9924,22,0.00074,"Taiwan Fixed Network, Telco and Network Service Provider.",TW,Computer and Information Technology,Internet Service Provider (ISP)
11019,21,0.00071,"HAProxy Technologies, Inc.",US,Computer and Information Technology,Computer and Network Security
852,21,0.00071,TELUS Communications Inc.,CA,Computer and Information Technology,Internet Service Provider (ISP)
9381,20,0.00068,HKBN Enterprise Solutions HK Limited,HK,Computer and Information Technology,Internet Service Provider (ISP)
24547,19,0.00064,China Mobile,CN,Computer and Information Technology,Internet Service Provider (ISP)
58453,19,0.00064,China Mobile International Limited,HK,Computer and Information Technology,Internet Service Provider (ISP)
1257,19,0.00064,Tele2 Sverige AB,SE,Computer and Information Technology,Internet Service Provider (ISP)
4134,19,0.00064,"No.31,Jin-rong Street",CN,Computer and Information Technology,Internet Service Provider (ISP)
56040,19,0.00064,China Mobile Communications Corporation,CN,Computer and Information Technology,Internet Service Provider (ISP)
4651,19,0.00064,CAT Telecom Public Company Limited,TH,Computer and Information Technology,Internet Service Provider (ISP)
4657,19,0.00064,Starhub Ltd.,SG,Computer and Information Technology,Internet Service Provider (ISP)
41378,18,0.00061,Kirino LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
1930,17,0.00057,"Fundacao para a Ciencia e a Tecnologia, I.P.",PT,Computer and Information Technology,Internet Service Provider (ISP)
207375,17,0.00057,Fiber Operator B.V.,NL,Computer and Information Technology,Internet Service Provider (ISP)
203432,16,0.00054,Association FAImaison,FR,Community Groups and Nonprofits,Other
22995,16,0.00054,Xplornet Communications Inc.,CA,Computer and Information Technology,Internet Service Provider (ISP)
33438,16,0.00054,"StackPath, LLC.",US,Computer and Information Technology,Computer and Network Security
55644,16,0.00054,Vodafone Idea Ltd. (VIL),IN,Computer and Information Technology,Internet Service Provider (ISP)
149485,16,0.00054,MonoCloud Pty Ltd,AU,"Media, Publishing, and Broadcasting",Online Informational Content
3303,15,0.00051,Swisscom (Schweiz) AG,CH,Computer and Information Technology,Internet Service Provider (ISP)
7679,15,0.00051,"QTnet,Inc.",JP,None,None
10881,15,0.00051,FUNPAR - Fundacao da UFPR para o DCTC,BR,Education and Research,None
38266,14,0.00047,Vodafone Idea Ltd. (VIL),IN,Computer and Information Technology,Internet Service Provider (ISP)
24309,14,0.00047,"Atria Convergence Technologies Pvt. Ltd.,",IN,Computer and Information Technology,Internet Service Provider (ISP)
9808,14,0.00047,China Mobile,CN,Computer and Information Technology,Internet Service Provider (ISP)
7545,14,0.00047,TPG Internet Pty Ltd,AU,Computer and Information Technology,Internet Service Provider (ISP)
42925,14,0.00047,Internet Rimon LTD,IL,Computer and Information Technology,Internet Service Provider (ISP)
397232,14,0.00047,Neustar Security Services,US,Government and Public Administration,"Military, Defense, National Security, and International Affairs"
204779,14,0.00047,Local Loop Oy,FI,Computer and Information Technology,Software Development
58057,14,0.00047,Securebit AG,CH,Computer and Information Technology,Internet Service Provider (ISP)
8697,13,0.00044,Jordan Telecommunications PSC,JO,Computer and Information Technology,Internet Service Provider (ISP)
25923,13,0.00044,"ChoicePoint, Inc.",US,Computer and Information Technology,Software Development
39122,13,0.00044,Blacknight Internet Solutions Limited,IE,Computer and Information Technology,Software Development
25019,13,0.00044,Saudi Telecom Company JSC,SA,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
3389,13,0.00044,Ford Motor Company,US,"Freight, Shipment, and Postal Services",None
55081,13,0.00044,24 SHELLS,US,Computer and Information Technology,Internet Service Provider (ISP)
9534,12,0.00041,Maxis Broadband Sdn Bhd,MY,Computer and Information Technology,Internet Service Provider (ISP)
398962,12,0.00041,CONTROLD INC.,CA,Community Groups and Nonprofits,Other
212786,12,0.00041,DIGITAL NETWORK S.R.L.,MD,Computer and Information Technology,Hosting and Cloud Provider
64267,12,0.00041,Sprious LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
59504,12,0.00041,LLC Vpsville,RU,Computer and Information Technology,Software Development
29670,12,0.00041,Individual Network Berlin e.V.,DE,Community Groups and Nonprofits,None
1659,12,0.00041,National Chung Hsing University,TW,Education and Research,"Colleges, Universities, and Professional Schools"
