org_name,as,number of aliased prefix,ratio of aliased prefix,country,category,sub_category
"Amazon.com, Inc.",[16509],1209,0.27509,US,Computer and Information Technology,Hosting and Cloud Provider
"Akamai Technologies, Inc.","[36183, 16625]",1135,0.25825000000000004,US,Computer and Information Technology,Computer and Network Security
"Cloudflare, Inc.",[13335],248,0.05643,US,Computer and Information Technology,Hosting and Cloud Provider
Google LLC,[36492],221,0.05028,US,Computer and Information Technology,Software Development
Bharti Airtel Limited,[45609],165,0.03754,IN,Computer and Information Technology,Internet Service Provider (ISP)
"Fastly, Inc.",[54113],140,0.03185,US,Computer and Information Technology,Software Development
Rohmad Kumiadin,[210842],125,0.02844,ID,None,None
"RACKTECH CO., LTD.",[204916],101,0.02298,TH,None,None
Edgecast Inc.,"[15133, 14153]",89,0.02025,US,Computer and Information Technology,Internet Service Provider (ISP)
Incapsula Inc,[19551],80,0.0182,US,Computer and Information Technology,Computer and Network Security
EpicUp Holdings Inc,[397165],62,0.01411,US,Service,"Law, Business, and Consulting Services"
"Fly.io, Inc.",[40509],47,0.01069,US,Computer and Information Technology,Internet Service Provider (ISP)
Developed Methods LLC,[400519],41,0.00933,US,Service,Other
M247 Europe SRL,[9009],35,0.00796,RO,Computer and Information Technology,Internet Service Provider (ISP)
Clouvider Limited,[62240],31,0.00705,GB,Computer and Information Technology,Internet Service Provider (ISP)
IP SERVER LLC,[44812],29,0.0066,RU,Computer and Information Technology,Internet Service Provider (ISP)
PLUSWEB SUNUCU INTERNET HIZMETLERI TICARET LIMITED SIRKETI,[210107],24,0.00546,TR,Computer and Information Technology,Internet Service Provider (ISP)
Hostinger International Limited,[47583],21,0.00478,CY,Computer and Information Technology,Software Development
John Mark Gabriel Caguicla,[200866],21,0.00478,PH,Computer and Information Technology,Software Development
Kew Solutions Unipessoal Lda,"[209968, 56849, 52042, 51126]",19,0.00434,PT,Finance and Insurance,"Investment, Portfolio Management, Pensions and Funds"
"Cloudflare London, LLC",[209242],16,0.00364,US,Service,"Law, Business, and Consulting Services"
"Leaseweb USA, Inc.","[30633, 396362]",15,0.0034200000000000003,US,Computer and Information Technology,Internet Service Provider (ISP)
"The Constant Company, LLC",[20473],15,0.00341,US,Computer and Information Technology,Internet Service Provider (ISP)
POLONETWORK LIMITED,[151338],14,0.00319,HK,Construction and Real Estate,Buildings (Residential or Commercial)
Hivelocity Inc,[61317],13,0.00296,US,Computer and Information Technology,None
"StackPath, LLC.",[20446],13,0.00296,US,Computer and Information Technology,Internet Service Provider (ISP)
Infosimples Ltda.,[270410],13,0.00296,BR,Education and Research,"Other Schools, Instruction, and Exam Preparation (Trade Schools, Art Schools, Driving Instruction, etc.)"
Qwilt Inc.,[20253],13,0.00296,US,Computer and Information Technology,Internet Service Provider (ISP)
LLC Vpsville,[59504],12,0.00273,RU,Computer and Information Technology,Software Development
Kirino LLC,[41378],12,0.00273,US,Computer and Information Technology,Internet Service Provider (ISP)
SIXNET OPERATION LTD,[198231],10,0.00228,GB,None,None
Akamai International B.V.,[33905],10,0.00228,NL,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
IT Express Ltd.,[47596],9,0.00205,UA,Service,"Law, Business, and Consulting Services"
Vinters IT Ltd,[62217],9,0.00205,GB,Computer and Information Technology,None
3xK Tech GmbH,"[200373, 198571]",9,0.00205,DE,Computer and Information Technology,Internet Service Provider (ISP)
Dmitrii Vladimirovich Malkov,"[210695, 210852]",9,0.00205,RU,None,None
Phan Nhat Nghi,[199925],9,0.00205,VG,Construction and Real Estate,Other
ipcom GmbH,"[207021, 1921]",8,0.00182,AT,Computer and Information Technology,None
Datacamp Limited,[212238],8,0.00182,GB,Computer and Information Technology,Internet Service Provider (ISP)
LLC Baxet,"[51659, 49392]",8,0.00182,RU,Computer and Information Technology,Internet Service Provider (ISP)
NetAssist LLC,[8772],7,0.00159,UA,Computer and Information Technology,Internet Service Provider (ISP)
Ferdinand Zink trading as Tube-Hosting,[49581],7,0.00159,DE,Computer and Information Technology,Software Development
Performive LLC,[46562],7,0.00159,US,Computer and Information Technology,Internet Service Provider (ISP)
Psychz Networks,[40676],7,0.00159,US,Computer and Information Technology,Hosting and Cloud Provider
Huicast Telecom Limited,[60539],6,0.00137,HK,Computer and Information Technology,None
Delta Ltd,[213220],6,0.00137,RU,Computer and Information Technology,Internet Service Provider (ISP)
xTom,[949],6,0.00137,US,Computer and Information Technology,None
RADISHCLOUD TECHNOLOGY LLC,[201217],6,0.00137,US,None,None
Cogent Communications,[174],6,0.00137,US,Computer and Information Technology,Internet Service Provider (ISP)
ArtPlanet LLC,[49542],6,0.00137,RU,Computer and Information Technology,Hosting and Cloud Provider
"Misaka Network, Inc.",[50069],6,0.00137,US,Other,None
Netex Limited,[51837],6,0.00137,HK,Computer and Information Technology,Software Development
LeaseWeb Netherlands B.V.,[60781],5,0.00114,NL,Computer and Information Technology,None
FranTech Solutions,[53667],5,0.00114,US,Computer and Information Technology,Hosting and Cloud Provider
Cr0bar Limited,[56758],4,0.00091,GB,Computer and Information Technology,Internet Service Provider (ISP)
WideOpenWest Finance LLC,[16724],4,0.00091,US,Computer and Information Technology,Internet Service Provider (ISP)
HostRoyale Technologies Pvt Ltd,[207990],4,0.00091,IN,Computer and Information Technology,Internet Service Provider (ISP)
Kontel LLC,[204490],4,0.00091,RU,Computer and Information Technology,Hosting and Cloud Provider
KIRILL ZINOV,[199186],4,0.00091,RU,None,None
HOSTKEY B.V.,[50867],4,0.00091,NL,Computer and Information Technology,Hosting and Cloud Provider
Perfect Cloud Technologies LLC,[211027],3,0.00068,RU,"Media, Publishing, and Broadcasting",Other
PT. INDOSAT Tbk,[4761],3,0.00068,ID,Computer and Information Technology,Internet Service Provider (ISP)
JSC IOT,[29182],3,0.00068,RU,Computer and Information Technology,None
I-SERVERS LTD,[209641],3,0.00068,GB,Education and Research,None
RoyaleHosting BV,[212477],3,0.00068,NL,Computer and Information Technology,None
STARK INDUSTRIES SOLUTIONS LTD,[44477],3,0.00068,GB,Manufacturing,"Metal, Glass, Wood, and Paper Manufacturing"
ServTech LTD,[208626],3,0.00068,RU,Computer and Information Technology,Internet Service Provider (ISP)
Serverius Holding B.V.,[208685],3,0.00068,NL,Computer and Information Technology,None
Manir LLC,[60389],3,0.00068,RU,Finance and Insurance,"Banks, Credit Card Companies, Mortgage Providers"
Sole trader Malkov Dmitrii Vladimirovich,[48108],3,0.00068,RU,Computer and Information Technology,None
Malkov D.V.,[212521],3,0.00068,RU,Computer and Information Technology,Internet Service Provider (ISP)
LEASEWEB UK LIMITED,[205544],3,0.00068,GB,Computer and Information Technology,None
Al Asmary Abdullah Ibrahim A,[210499],3,0.00068,SA,Computer and Information Technology,Software Development
GalaxyStar LLC,[206873],3,0.00068,RU,Computer and Information Technology,Internet Service Provider (ISP)
"AT&T Services, Inc.",[7018],3,0.00068,US,Computer and Information Technology,Internet Service Provider (ISP)
Comfortel Ltd.,[56534],3,0.00068,RU,Computer and Information Technology,Internet Service Provider (ISP)
Citytelecom LLC,[3175],3,0.00068,RU,Computer and Information Technology,Internet Service Provider (ISP)
Alliance LLC,[39900],3,0.00068,RU,Construction and Real Estate,Real Estate (Residential and/or Commercial)
Daniel Cid,[205157],3,0.00068,US,"Freight, Shipment, and Postal Services",Other
20i Limited,[48254],2,0.00046,GB,Computer and Information Technology,None
DNS0.EU A.D.,[50902],2,0.00046,FR,Computer and Information Technology,Internet Service Provider (ISP)
Cox Communications Inc.,[22773],2,0.00046,US,Computer and Information Technology,Internet Service Provider (ISP)
Latitude.sh,[396356],2,0.00046,US,Computer and Information Technology,Internet Service Provider (ISP)
TELECOM ITALIA SPARKLE S.p.A.,[6762],2,0.00046,IT,Computer and Information Technology,Internet Service Provider (ISP)
