sub_category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio
"Banks, Credit Card Companies, Mortgage Providers",2.0,4393.0,0.00045526974732529026,2.0,1394.6141819953918,0.0014340883850316448
Buildings (Residential or Commercial),16.0,4393.0,0.003642157978602322,2.006851,1394.6141819953918,0.001439000854794571
"Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)",1.0,4393.0,0.00022763487366264513,1.5e-05,1394.6141819953918,1.0755662887737338e-08
Chemical and Pharmaceutical Manufacturing,1.0,4393.0,0.00022763487366264513,1.5e-05,1394.6141819953918,1.0755662887737338e-08
"Civil Engineering Construction (Utility Lines, Roads and Bridges)",6.0,26610.0,0.00022547914317925591,0.0,87.32849554013333,0.0
"Colleges, Universities, and Professional Schools",15.0,31003.0,0.00048382414605038223,1.000008,1481.9426775355253,0.0006747953312627558
Computer and Network Security,1511.0,31003.0,0.048737218978808505,0.018621000000000002,1481.9426775355253,1.2565263341337046e-05
Electronics and Computer Components,2.0,4393.0,0.00045526974732529026,1.000015,1394.6141819953918,0.0007170549481787103
Elementary and Secondary Schools,1.0,4393.0,0.00022763487366264513,1.0,1394.6141819953918,0.0007170441925158224
"Government and Regulatory Agencies, Administrations, Departments, and Services",5.0,26610.0,0.00018789928598271326,0.0,87.32849554013333,0.0
Hosting and Cloud Provider,8138.0,31003.0,0.26249072670386736,14.348407,1481.9426775355253,0.009682160597373065
"Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)",4.0,26610.0,0.0001503194287861706,0.0,87.32849554013333,0.0
Internet Service Provider (ISP),5288.0,31003.0,0.17056413895429476,219.656973,1481.9426775355253,0.14822231408119654
"Investment, Portfolio Management, Pensions and Funds",17.0,31003.0,0.0005483340321904332,15.000015,1481.9426775355253,0.010121859115998376
"Law Enforcement, Public Safety, and Justice",3.0,26610.0,0.00011273957158962796,0.0,87.32849554013333,0.0
"Law, Business, and Consulting Services",133.0,31003.0,0.004289907428313389,1004.0002589999999,1481.9426775355253,0.677489267445658
"Metal, Glass, Wood, and Paper Manufacturing",2.0,4393.0,0.00045526974732529026,2.0,1394.6141819953918,0.0014340883850316448
"Military, Defense, National Security, and International Affairs",37.0,26610.0,0.001390454716272078,1.5e-05,87.32849554013333,1.717652400539351e-07
None,2698.0,31003.0,0.08702383640292875,175.24663100000004,1481.9426775355253,0.1182546623810279
Online Informational Content,20.0,31003.0,0.0006450988614005096,0.007956999999999999,1481.9426775355253,5.369303496429776e-06
Online Music and Video Streaming Services,9584.0,31003.0,0.3091313743831242,0.043183,1481.9426775355253,2.9139453674290186e-05
Other,98.0,31003.0,0.003160984420862497,6.173842000000001,1481.9426775355253,0.004166046429182482
"Other Schools, Instruction, and Exam Preparation (Trade Schools, Art Schools, Driving Instruction, etc.)",13.0,4393.0,0.0029592533576143867,0.006836,1394.6141819953918,4.901714100038162e-06
Phone Provider,168.0,26610.0,0.006313416009019166,9.672119,87.32849554013333,0.11075558945768177
Real Estate (Residential and/or Commercial),3.0,4393.0,0.0006829046209879354,4.6e-05,1394.6141819953918,3.298403285572783e-08
"Recreation, Sports, and Performing Arts",6.0,26610.0,0.00022547914317925591,0.0,87.32849554013333,0.0
Software Development,3231.0,31003.0,0.10421572105925234,28.76086,1481.9426775355253,0.019407538790791417
