sub_category,category_alias_num,category_all_num,category_ratio,sta_category_alias_num,sta_category_all_num,sat_category_ratio
"Banks, Credit Card Companies, Mortgage Providers",3.0,4393.0,0.0006829046209879354,3.0,1397.546616077423,0.002146618914523422
Buildings (Residential or Commercial),16.0,4393.0,0.003642157978602322,2.006851,1397.546616077423,0.0014359814384100817
"Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)",1.0,26682.0,3.747844989131249e-05,0.0,94.32851166109428,0.0
Chemical and Pharmaceutical Manufacturing,1.0,4393.0,0.00022763487366264513,1.5e-05,1397.546616077423,1.0733094572617112e-08
"Civil Engineering Construction (Utility Lines, Roads and Bridges)",6.0,26682.0,0.00022487069934787497,0.0,94.32851166109428,0.0
"Colleges, Universities, and Professional Schools",15.0,31075.0,0.0004827031375703942,1.000008,1491.8751277385174,0.0006703027494773493
Computer and Network Security,1511.0,31075.0,0.04862429605792438,0.018621000000000002,1491.8751277385174,1.2481607645156563e-05
Electronics and Computer Components,2.0,4393.0,0.00045526974732529026,1.000015,1397.546616077423,0.0007155503712690468
Elementary and Secondary Schools,1.0,4393.0,0.00022763487366264513,1.0,1397.546616077423,0.0007155396381744742
"Government and Regulatory Agencies, Administrations, Departments, and Services",5.0,26682.0,0.0001873922494565625,0.0,94.32851166109428,0.0
Hosting and Cloud Provider,8060.0,31075.0,0.25937248592115847,14.348467999999999,1491.8751277385174,0.009617740609262888
"Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)",3.0,26682.0,0.00011243534967393749,0.0,94.32851166109428,0.0
Internet Service Provider (ISP),5336.0,31075.0,0.1717135961383749,219.58939200000003,1491.8751277385174,0.14719019569209393
"Investment, Portfolio Management, Pensions and Funds",17.0,31075.0,0.0005470635559131135,15.000015,1491.8751277385174,0.010054470860934594
"Law Enforcement, Public Safety, and Justice",3.0,26682.0,0.00011243534967393749,0.0,94.32851166109428,0.0
"Law, Business, and Consulting Services",133.0,31075.0,0.004279967819790829,1004.0002589999999,1491.8751277385174,0.6729787502536687
"Metal, Glass, Wood, and Paper Manufacturing",3.0,4393.0,0.0006829046209879354,3.0,1397.546616077423,0.002146618914523422
"Military, Defense, National Security, and International Affairs",37.0,26682.0,0.0013867026459785624,1.5e-05,94.32851166109428,1.590187286521848e-07
None,2731.0,31075.0,0.08788415124698311,181.24660100000003,1491.8751277385174,0.12148912307073954
Online Informational Content,20.0,31075.0,0.0006436041834271923,0.007956999999999999,1491.8751277385174,5.3335563091407945e-06
Online Music and Video Streaming Services,9649.0,31075.0,0.3105068382944489,0.043184,1491.8751277385174,2.894612236445094e-05
Other,98.0,31075.0,0.0031536604987932424,6.173842000000001,1491.8751277385174,0.004138310160957451
"Other Schools, Instruction, and Exam Preparation (Trade Schools, Art Schools, Driving Instruction, etc.)",13.0,4393.0,0.0029592533576143867,0.006836,1397.546616077423,4.891428966560705e-06
Phone Provider,168.0,26682.0,0.006296379581740499,9.672119,94.32851166109428,0.1025365377835094
Real Estate (Residential and/or Commercial),3.0,4393.0,0.0006829046209879354,4.6e-05,1397.546616077423,3.291482335602581e-08
"Recreation, Sports, and Performing Arts",6.0,26682.0,0.00022487069934787497,0.0,94.32851166109428,0.0
Software Development,3234.0,31075.0,0.10407079646017699,28.760876,1491.8751277385174,0.01927834003345684
