org_name,org_alias_num,org_all_num,org_ratio,sta_org_alias_num,sta_org_all_num,sat_org_ratio,as
1Access Sweden AB,1,5022,0.00019912385503783353,16.0,3132.765945971012,0.005107307815503192,[57773]
20i Limited,2,5022,0.00039824771007566706,3.1e-05,3132.765945971012,9.895408892537435e-09,[48254]
21vianet(China) Inc.,3,26329,0.00011394280071404155,0.0,83.32871523521422,0.0,[17428]
23M GmbH,2,31351,6.379381837899908e-05,1.0,3216.094661206226,0.00031093612139666956,[47447]
24 SHELLS,15,31351,0.00047845363784249306,2.7e-05,3216.094661206226,8.395275277710078e-09,[55081]
3xK Tech GmbH,12,5022,0.0023894862604540022,12.0,3132.765945971012,0.003830480861627394,"[200373, 198571]"
99999 Informatika Ltd.,1,5022,0.00019912385503783353,1.0,3132.765945971012,0.0003192067384689495,[200157]
ADDIX GmbH,1,5022,0.00019912385503783353,16.0,3132.765945971012,0.005107307815503192,[25415]
ADP GSI FRANCE SAS,1,5022,0.00019912385503783353,1.5e-05,3132.765945971012,4.788101077034242e-09,[201958]
ADVCOM SARL,1,5022,0.00019912385503783353,16.0,3132.765945971012,0.005107307815503192,[205068]
AEZA INTERNATIONAL LTD,4,31351,0.00012758763675799816,3.000015,3216.094661206226,0.0009328130282318296,[210644]
AKILE LTD,2,5022,0.00039824771007566706,0.003922,3132.765945971012,1.2519288282752198e-06,[61112]
AL-SARD FIBER Co. for Internet Fiber and Optical Cable Services /Ltd.,1,5022,0.00019912385503783353,1.5e-05,3132.765945971012,4.788101077034242e-09,[39216]
ALCORT INGENIERIA Y ASESORIA S.L.,2,5022,0.00039824771007566706,2.0,3132.765945971012,0.000638413476937899,[205718]
ALICE CAT RESEARCH LTD,5,5022,0.0009956192751891676,7.6e-05,3132.765945971012,2.4259712123640163e-08,[210025]
ALKON SAS,3,26329,0.00011394280071404155,0.0,83.32871523521422,0.0,[266768]
ANS ACADEMY LIMITED,5,31351,0.00015948454594749768,1.5e-05,3216.094661206226,4.664041820950044e-09,[61323]
ASK4 Limited,1,5022,0.00019912385503783353,16.0,3132.765945971012,0.005107307815503192,[41230]
