as,number of aliased prefix,ratio of aliased prefix,org_name,country,category,sub_category
20940,9652,0.32563,Akamai International B.V.,NL,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
16509,5589,0.18856,"Amazon.com, Inc.",US,Computer and Information Technology,Hosting and Cloud Provider
32934,1984,0.06693,"Facebook, Inc.",US,"Retail Stores, Wholesale, and E-commerce Sites",None
36492,1552,0.05236,Google LLC,US,Computer and Information Technology,Software Development
13335,1431,0.04828,"Cloudflare, Inc.",US,Computer and Information Technology,Hosting and Cloud Provider
47583,976,0.03293,Hostinger International Limited,CY,Computer and Information Technology,Software Development
20473,781,0.02635,"The Constant Company, LLC",US,Computer and Information Technology,Internet Service Provider (ISP)
6939,717,0.02419,Hurricane Electric LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
28573,305,0.01029,Claro NXT Telecomunicacoes Ltda,BR,Computer and Information Technology,Internet Service Provider (ISP)
15943,302,0.01019,wilhelm.tel GmbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
15169,278,0.00938,Google LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
19551,240,0.0081,Incapsula Inc,US,Computer and Information Technology,Computer and Network Security
34762,213,0.00719,Combell NV,BE,Computer and Information Technology,Software Development
135981,179,0.00604,VisualViet Company Limited,VN,Computer and Information Technology,Internet Service Provider (ISP)
53356,170,0.00574,Free Range Cloud Hosting Inc.,CA,Computer and Information Technology,Internet Service Provider (ISP)
13213,169,0.0057,UK-2 Limited,GB,Computer and Information Technology,Hosting and Cloud Provider
395839,168,0.00567,HOSTKEY,US,Computer and Information Technology,Phone Provider
60294,156,0.00526,Deutsche Glasfaser Wholesale GmbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
204916,156,0.00526,"RACKTECH CO., LTD.",TH,None,None
30633,140,0.00472,"Leaseweb USA, Inc.",US,Computer and Information Technology,Internet Service Provider (ISP)
58487,126,0.00425,Rumahweb,ID,Computer and Information Technology,Internet Service Provider (ISP)
6805,122,0.00412,Telefonica Germany GmbH & Co.OHG,DE,Computer and Information Technology,Internet Service Provider (ISP)
9009,113,0.00381,M247 Europe SRL,RO,Computer and Information Technology,Internet Service Provider (ISP)
24203,93,0.00314,PT XL Axiata Tbk,ID,Computer and Information Technology,Internet Service Provider (ISP)
198066,84,0.00283,"Grupo Loading Systems, S.L.",ES,Computer and Information Technology,Internet Service Provider (ISP)
1299,73,0.00246,Arelion Sweden AB,SE,Computer and Information Technology,Internet Service Provider (ISP)
46562,73,0.00246,Performive LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
212238,71,0.0024,Datacamp Limited,GB,Computer and Information Technology,Internet Service Provider (ISP)
7922,69,0.00233,"Comcast Cable Communications, LLC",US,Computer and Information Technology,Internet Service Provider (ISP)
8422,65,0.00219,NetCologne Gesellschaft fur Telekommunikation mbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
6762,63,0.00213,TELECOM ITALIA SPARKLE S.p.A.,IT,Computer and Information Technology,Internet Service Provider (ISP)
55836,60,0.00202,Reliance Jio Infocomm Limited,IN,Computer and Information Technology,Internet Service Provider (ISP)
5410,59,0.00199,Bouygues Telecom SA,FR,Computer and Information Technology,Internet Service Provider (ISP)
210403,57,0.00192,Groupe LWS SARL,FR,None,None
9002,57,0.00192,RETN Limited,GB,Computer and Information Technology,Internet Service Provider (ISP)
205745,57,0.00192,CONTRUST SOLUTIONS S.R.L.,MD,None,None
60781,57,0.00192,LeaseWeb Netherlands B.V.,NL,Computer and Information Technology,None
41405,52,0.00175,Altinea SAS,FR,Computer and Information Technology,None
63410,50,0.00169,PrivateSystems Networks,US,Computer and Information Technology,Internet Service Provider (ISP)
45899,47,0.00159,Vietnam Posts and Telecommunications (VNPT),VN,Computer and Information Technology,Internet Service Provider (ISP)
209641,46,0.00155,I-SERVERS LTD,GB,Education and Research,None
4837,45,0.00152,CHINA UNICOM Industrial Internet Backbone,CN,Computer and Information Technology,Internet Service Provider (ISP)
9498,44,0.00148,Bharti Airtel Limited,IN,Computer and Information Technology,Internet Service Provider (ISP)
213220,43,0.00145,Delta Ltd,RU,Computer and Information Technology,Internet Service Provider (ISP)
208058,42,0.00142,InnoGames GmbH,DE,"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",None
63949,42,0.00142,"Akamai Technologies, Inc.",US,Computer and Information Technology,Software Development
396356,42,0.00142,Latitude.sh,US,Computer and Information Technology,Internet Service Provider (ISP)
198231,41,0.00138,SIXNET OPERATION LTD,GB,None,None
205227,41,0.00138,"IT business solutions, MB",LT,Computer and Information Technology,Hosting and Cloud Provider
1221,41,0.00138,Telstra Corporation Limited,AU,Service,"Law, Business, and Consulting Services"
9829,40,0.00135,Bharat Sanchar Nigam Ltd,IN,Computer and Information Technology,Internet Service Provider (ISP)
812,40,0.00135,Rogers Communications Canada Inc.,CA,Computer and Information Technology,Internet Service Provider (ISP)
140810,38,0.00128,Megacore Technology Company Limited,VN,Computer and Information Technology,Internet Service Provider (ISP)
216349,37,0.00125,"Getechbrothers, MB",LT,None,None
397031,37,0.00125,"GALAXYGATE, LLC",US,Other,None
45609,37,0.00125,Bharti Airtel Limited,IN,Computer and Information Technology,Internet Service Provider (ISP)
262287,36,0.00121,Latitude.sh LTDA,BR,Computer and Information Technology,Hosting and Cloud Provider
6697,35,0.00118,Republican Unitary Telecommunication Enterprise Beltelecom,BY,Computer and Information Technology,Internet Service Provider (ISP)
45758,33,0.00111,Triple T Broadband Public Company Limited,TH,Computer and Information Technology,Internet Service Provider (ISP)
210107,32,0.00108,PLUSWEB SUNUCU INTERNET HIZMETLERI TICARET LIMITED SIRKETI,TR,Computer and Information Technology,Internet Service Provider (ISP)
5606,31,0.00105,GTS Telecom SRL,RO,Computer and Information Technology,Internet Service Provider (ISP)
9500,31,0.00105,One New Zealand Group Limited,NZ,Computer and Information Technology,Internet Service Provider (ISP)
5432,31,0.00105,Proximus NV,BE,Computer and Information Technology,Internet Service Provider (ISP)
211298,31,0.00105,Constantine Cybersecurity Ltd.,GB,Computer and Information Technology,None
577,30,0.00101,Bell Canada,CA,Computer and Information Technology,Internet Service Provider (ISP)
51468,28,0.00094,One.com A/S,DK,Computer and Information Technology,None
212144,27,0.00091,"trafficforce, UAB",LT,Computer and Information Technology,Software Development
36183,26,0.00088,"Akamai Technologies, Inc.",US,Computer and Information Technology,Computer and Network Security
852,25,0.00084,TELUS Communications Inc.,CA,Computer and Information Technology,Internet Service Provider (ISP)
9924,25,0.00084,"Taiwan Fixed Network, Telco and Network Service Provider.",TW,Computer and Information Technology,Internet Service Provider (ISP)
53667,24,0.00081,FranTech Solutions,US,Computer and Information Technology,Hosting and Cloud Provider
16625,23,0.00078,"Akamai Technologies, Inc.",US,Computer and Information Technology,Computer and Network Security
29413,22,0.00074,KOMRO Gesellschaft fuer Telekommunikation mit beschraenkter Haftung,DE,Computer and Information Technology,Internet Service Provider (ISP)
11019,21,0.00071,"HAProxy Technologies, Inc.",US,Computer and Information Technology,Computer and Network Security
24547,20,0.00067,China Mobile,CN,Computer and Information Technology,Internet Service Provider (ISP)
9381,20,0.00067,HKBN Enterprise Solutions HK Limited,HK,Computer and Information Technology,Internet Service Provider (ISP)
1257,20,0.00067,Tele2 Sverige AB,SE,Computer and Information Technology,Internet Service Provider (ISP)
56040,19,0.00064,China Mobile Communications Corporation,CN,Computer and Information Technology,Internet Service Provider (ISP)
4134,19,0.00064,"No.31,Jin-rong Street",CN,Computer and Information Technology,Internet Service Provider (ISP)
4657,19,0.00064,Starhub Ltd.,SG,Computer and Information Technology,Internet Service Provider (ISP)
58453,19,0.00064,China Mobile International Limited,HK,Computer and Information Technology,Internet Service Provider (ISP)
10881,19,0.00064,FUNPAR - Fundacao da UFPR para o DCTC,BR,Education and Research,None
4651,19,0.00064,CAT Telecom Public Company Limited,TH,Computer and Information Technology,Internet Service Provider (ISP)
33438,19,0.00064,"StackPath, LLC.",US,Computer and Information Technology,Computer and Network Security
203432,18,0.00061,Association FAImaison,FR,Community Groups and Nonprofits,Other
41378,18,0.00061,Kirino LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
1930,17,0.00057,"Fundacao para a Ciencia e a Tecnologia, I.P.",PT,Computer and Information Technology,Internet Service Provider (ISP)
42925,17,0.00057,Internet Rimon LTD,IL,Computer and Information Technology,Internet Service Provider (ISP)
22995,16,0.00054,Xplornet Communications Inc.,CA,Computer and Information Technology,Internet Service Provider (ISP)
207375,16,0.00054,Fiber Operator B.V.,NL,Computer and Information Technology,Internet Service Provider (ISP)
55644,16,0.00054,Vodafone Idea Ltd. (VIL),IN,Computer and Information Technology,Internet Service Provider (ISP)
25019,16,0.00054,Saudi Telecom Company JSC,SA,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
9808,16,0.00054,China Mobile,CN,Computer and Information Technology,Internet Service Provider (ISP)
3303,15,0.00051,Swisscom (Schweiz) AG,CH,Computer and Information Technology,Internet Service Provider (ISP)
7679,15,0.00051,"QTnet,Inc.",JP,None,None
397232,15,0.00051,Neustar Security Services,US,Government and Public Administration,"Military, Defense, National Security, and International Affairs"
204779,15,0.00051,Local Loop Oy,FI,Computer and Information Technology,Software Development
149485,15,0.00051,MonoCloud Pty Ltd,AU,"Media, Publishing, and Broadcasting",Online Informational Content
55081,14,0.00047,24 SHELLS,US,Computer and Information Technology,Internet Service Provider (ISP)
39122,14,0.00047,Blacknight Internet Solutions Limited,IE,Computer and Information Technology,Software Development
24309,14,0.00047,"Atria Convergence Technologies Pvt. Ltd.,",IN,Computer and Information Technology,Internet Service Provider (ISP)
7545,14,0.00047,TPG Internet Pty Ltd,AU,Computer and Information Technology,Internet Service Provider (ISP)
38266,14,0.00047,Vodafone Idea Ltd. (VIL),IN,Computer and Information Technology,Internet Service Provider (ISP)
9534,14,0.00047,Maxis Broadband Sdn Bhd,MY,Computer and Information Technology,Internet Service Provider (ISP)
4637,13,0.00044,Telstra International Limited,HK,Computer and Information Technology,Internet Service Provider (ISP)
25923,13,0.00044,"ChoicePoint, Inc.",US,Computer and Information Technology,Software Development
40676,13,0.00044,Psychz Networks,US,Computer and Information Technology,Hosting and Cloud Provider
13999,13,0.00044,"Mega Cable, S.A. de C.V.",MX,Computer and Information Technology,Internet Service Provider (ISP)
3320,13,0.00044,Deutsche Telekom AG,DE,Computer and Information Technology,Internet Service Provider (ISP)
17501,13,0.00044,WorldLink Communications,NP,Computer and Information Technology,Internet Service Provider (ISP)
8697,13,0.00044,Jordan Telecommunications PSC,JO,Computer and Information Technology,Internet Service Provider (ISP)
3389,13,0.00044,Ford Motor Company,US,"Freight, Shipment, and Postal Services",None
64267,12,0.0004,Sprious LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
29670,12,0.0004,Individual Network Berlin e.V.,DE,Community Groups and Nonprofits,None
4788,12,0.0004,TM TECHNOLOGY SERVICES SDN BHD,MY,Computer and Information Technology,Internet Service Provider (ISP)
140903,12,0.0004,China Telecom,CN,Computer and Information Technology,None
59504,12,0.0004,LLC Vpsville,RU,Computer and Information Technology,Software Development
