org_name,org_alias_num,org_all_num,org_ratio,sta_org_alias_num,sta_org_all_num,sat_org_ratio,as
20i Limited,2,4384,0.0004562043795620438,3.1e-05,1396.4762272834778,2.219873091595934e-08,[48254]
21vianet(China) Inc.,3,26772,0.00011205737337516809,0.0,92.43035371688998,0.0,[17428]
23M GmbH,2,31156,6.419309282321222e-05,1.0,1488.9065810003679,0.000671633810180434,[47447]
24 SHELLS,15,31156,0.00048144819617409166,2.7e-05,1488.9065810003679,1.8134112874871715e-08,[55081]
34SP.com Limited,1,26772,3.735245779172269e-05,0.0,92.43035371688998,0.0,[41357]
3xK Tech GmbH,4,4384,0.0009124087591240876,4.0,1396.4762272834778,0.002864352376252818,"[198571, 200373]"
AEZA INTERNATIONAL LTD,3,26772,0.00011205737337516809,3.0,92.43035371688998,0.03245687027433504,[210644]
AKILE LTD,2,4384,0.0004562043795620438,0.003922,1396.4762272834778,2.8084975049158884e-06,[61112]
ALKON SAS,3,26772,0.00011205737337516809,0.0,92.43035371688998,0.0,[266768]
ANS ACADEMY LIMITED,5,31156,0.00016048273205803055,1.5e-05,1488.9065810003679,1.007450715270651e-08,[61323]
ARLINK S.A.,1,26772,3.735245779172269e-05,0.0,92.43035371688998,0.0,[28075]
ARTERIA Networks Corporation,1,26772,3.735245779172269e-05,0.0,92.43035371688998,0.0,[2519]
"AT&T Services, Inc.",6,4384,0.0013686131386861315,6.0,1396.4762272834778,0.004296528564379227,[7018]
Adrian Paschkowski,1,4384,0.0002281021897810219,0.003906,1396.4762272834778,2.797040095410877e-06,[205987]
Akamai International B.V.,9597,31156,0.30803055591218387,0.039139,1488.9065810003679,2.6287075696652005e-05,[33905]
"Akamai Technologies, Inc.",1199,31156,0.03848375914751573,0.017395,1488.9065810003679,1.1683070128088649e-05,"[36183, 16625]"
Akenes SA,1,26772,3.735245779172269e-05,0.0,92.43035371688998,0.0,[61098]
Al Asmary Abdullah Ibrahim A,3,4384,0.0006843065693430657,3.0,1396.4762272834778,0.0021482642821896137,[210499]
"Alibaba (US) Technology Co., Ltd.",2,4384,0.0004562043795620438,3.1e-05,1396.4762272834778,2.219873091595934e-08,[37963]
Alliance LLC,3,4384,0.0006843065693430657,4.6e-05,1396.4762272834778,3.294005232690741e-08,[39900]
Allo Communications LLC,1,26772,3.735245779172269e-05,0.0,92.43035371688998,0.0,[15108]
Altinea SAS,52,26772,0.00194232780516958,0.085693,92.43035371688998,0.0009271088614728643,[41405]
AltusHost B.V.,10,31156,0.0003209654641160611,3e-05,1488.9065810003679,2.014901430541302e-08,[51430]
