org_name,as,number of aliased prefix,ratio of aliased prefix,country,category,sub_category
Akamai International B.V.,"[20940, 21342]",9655,0.32572999999999996,NL,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
"Amazon.com, Inc.",[16509],5589,0.18856,US,Computer and Information Technology,Hosting and Cloud Provider
"Facebook, Inc.",[32934],1984,0.06693,US,"Retail Stores, Wholesale, and E-commerce Sites",None
Google LLC,"[36492, 15169, 396982]",1834,0.061869999999999994,US,Computer and Information Technology,Software Development
"Cloudflare, Inc.","[13335, 395747]",1436,0.04845000000000001,US,Computer and Information Technology,Hosting and Cloud Provider
Hostinger International Limited,[47583],976,0.03293,CY,Computer and Information Technology,Software Development
"The Constant Company, LLC",[20473],781,0.02635,US,Computer and Information Technology,Internet Service Provider (ISP)
Hurricane Electric LLC,[6939],717,0.02419,US,Computer and Information Technology,Internet Service Provider (ISP)
Claro NXT Telecomunicacoes Ltda,[28573],305,0.01029,BR,Computer and Information Technology,Internet Service Provider (ISP)
wilhelm.tel GmbH,[15943],302,0.01019,DE,Computer and Information Technology,Internet Service Provider (ISP)
Incapsula Inc,[19551],240,0.0081,US,Computer and Information Technology,Computer and Network Security
Combell NV,[34762],213,0.00719,BE,Computer and Information Technology,Software Development
VisualViet Company Limited,[135981],179,0.00604,VN,Computer and Information Technology,Internet Service Provider (ISP)
Free Range Cloud Hosting Inc.,[53356],170,0.00574,CA,Computer and Information Technology,Internet Service Provider (ISP)
UK-2 Limited,[13213],169,0.0057,GB,Computer and Information Technology,Hosting and Cloud Provider
HOSTKEY,[395839],168,0.00567,US,Computer and Information Technology,Phone Provider
Deutsche Glasfaser Wholesale GmbH,[60294],156,0.00526,DE,Computer and Information Technology,Internet Service Provider (ISP)
"RACKTECH CO., LTD.",[204916],156,0.00526,TH,None,None
"Leaseweb USA, Inc.",[30633],140,0.00472,US,Computer and Information Technology,Internet Service Provider (ISP)
Rumahweb,[58487],126,0.00425,ID,Computer and Information Technology,Internet Service Provider (ISP)
Telefonica Germany GmbH & Co.OHG,[6805],122,0.00412,DE,Computer and Information Technology,Internet Service Provider (ISP)
M247 Europe SRL,[9009],113,0.00381,RO,Computer and Information Technology,Internet Service Provider (ISP)
PT XL Axiata Tbk,[24203],93,0.00314,ID,Computer and Information Technology,Internet Service Provider (ISP)
"Akamai Technologies, Inc.","[63949, 36183, 16625]",91,0.00308,US,Computer and Information Technology,Software Development
"Grupo Loading Systems, S.L.",[198066],84,0.00283,ES,Computer and Information Technology,Internet Service Provider (ISP)
