as,number of aliased prefix,ratio of aliased prefix,org_name,country,category,sub_category
20940,9841,0.34088,Akamai International B.V.,NL,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
16509,5568,0.19287,"Amazon.com, Inc.",US,Computer and Information Technology,Hosting and Cloud Provider
32934,1969,0.0682,"Facebook, Inc.",US,"Retail Stores, Wholesale, and E-commerce Sites",None
36492,1548,0.05362,Google LLC,US,Computer and Information Technology,Software Development
13335,1401,0.04853,"Cloudflare, Inc.",US,Computer and Information Technology,Hosting and Cloud Provider
47583,973,0.0337,Hostinger International Limited,CY,Computer and Information Technology,Software Development
20473,715,0.02477,"The Constant Company, LLC",US,Computer and Information Technology,Internet Service Provider (ISP)
6939,683,0.02366,Hurricane Electric LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
15169,278,0.00963,Google LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
15943,268,0.00928,wilhelm.tel GmbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
28573,258,0.00894,Claro NXT Telecomunicacoes Ltda,BR,Computer and Information Technology,Internet Service Provider (ISP)
19551,239,0.00828,Incapsula Inc,US,Computer and Information Technology,Computer and Network Security
34762,209,0.00724,Combell NV,BE,Computer and Information Technology,Software Development
135981,179,0.0062,VisualViet Company Limited,VN,Computer and Information Technology,Internet Service Provider (ISP)
9009,171,0.00592,M247 Europe SRL,RO,Computer and Information Technology,Internet Service Provider (ISP)
395839,167,0.00578,HOSTKEY,US,Computer and Information Technology,Phone Provider
13213,166,0.00575,UK-2 Limited,GB,Computer and Information Technology,Hosting and Cloud Provider
60294,148,0.00513,Deutsche Glasfaser Wholesale GmbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
58487,122,0.00423,Rumahweb,ID,Computer and Information Technology,Internet Service Provider (ISP)
6805,120,0.00416,Telefonica Germany GmbH & Co.OHG,DE,Computer and Information Technology,Internet Service Provider (ISP)
30633,108,0.00374,"Leaseweb USA, Inc.",US,Computer and Information Technology,Internet Service Provider (ISP)
24203,93,0.00322,PT XL Axiata Tbk,ID,Computer and Information Technology,Internet Service Provider (ISP)
1299,73,0.00253,Arelion Sweden AB,SE,Computer and Information Technology,Internet Service Provider (ISP)
46562,72,0.00249,Performive LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
6762,63,0.00218,TELECOM ITALIA SPARKLE S.p.A.,IT,Computer and Information Technology,Internet Service Provider (ISP)
8422,61,0.00211,NetCologne Gesellschaft fur Telekommunikation mbH,DE,Computer and Information Technology,Internet Service Provider (ISP)
140810,61,0.00211,Megacore Technology Company Limited,VN,Computer and Information Technology,Internet Service Provider (ISP)
5410,59,0.00204,Bouygues Telecom SA,FR,Computer and Information Technology,Internet Service Provider (ISP)
9002,58,0.00201,RETN Limited,GB,Computer and Information Technology,Internet Service Provider (ISP)
7922,58,0.00201,"Comcast Cable Communications, LLC",US,Computer and Information Technology,Internet Service Provider (ISP)
212238,56,0.00194,Datacamp Limited,GB,Computer and Information Technology,Internet Service Provider (ISP)
55836,56,0.00194,Reliance Jio Infocomm Limited,IN,Computer and Information Technology,Internet Service Provider (ISP)
41405,50,0.00173,Altinea SAS,FR,Computer and Information Technology,None
60781,50,0.00173,LeaseWeb Netherlands B.V.,NL,Computer and Information Technology,None
36183,50,0.00173,"Akamai Technologies, Inc.",US,Computer and Information Technology,Computer and Network Security
63410,49,0.0017,PrivateSystems Networks,US,Computer and Information Technology,Internet Service Provider (ISP)
45899,47,0.00163,Vietnam Posts and Telecommunications (VNPT),VN,Computer and Information Technology,Internet Service Provider (ISP)
9498,44,0.00152,Bharti Airtel Limited,IN,Computer and Information Technology,Internet Service Provider (ISP)
4837,44,0.00152,CHINA UNICOM Industrial Internet Backbone,CN,Computer and Information Technology,Internet Service Provider (ISP)
204916,42,0.00145,"RACKTECH CO., LTD.",TH,None,None
208058,42,0.00145,InnoGames GmbH,DE,"Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",None
396356,42,0.00145,Latitude.sh,US,Computer and Information Technology,Internet Service Provider (ISP)
209641,41,0.00142,I-SERVERS LTD,GB,Education and Research,None
63949,41,0.00142,"Akamai Technologies, Inc.",US,Computer and Information Technology,Software Development
812,40,0.00139,Rogers Communications Canada Inc.,CA,Computer and Information Technology,Internet Service Provider (ISP)
9829,40,0.00139,Bharat Sanchar Nigam Ltd,IN,Computer and Information Technology,Internet Service Provider (ISP)
1221,39,0.00135,Telstra Corporation Limited,AU,Service,"Law, Business, and Consulting Services"
45609,37,0.00128,Bharti Airtel Limited,IN,Computer and Information Technology,Internet Service Provider (ISP)
262287,36,0.00125,Latitude.sh LTDA,BR,Computer and Information Technology,Hosting and Cloud Provider
6697,35,0.00121,Republican Unitary Telecommunication Enterprise Beltelecom,BY,Computer and Information Technology,Internet Service Provider (ISP)
397031,35,0.00121,"GALAXYGATE, LLC",US,Other,None
213220,32,0.00111,Delta Ltd,RU,Computer and Information Technology,Internet Service Provider (ISP)
5432,31,0.00107,Proximus NV,BE,Computer and Information Technology,Internet Service Provider (ISP)
5606,31,0.00107,GTS Telecom SRL,RO,Computer and Information Technology,Internet Service Provider (ISP)
9500,31,0.00107,One New Zealand Group Limited,NZ,Computer and Information Technology,Internet Service Provider (ISP)
577,30,0.00104,Bell Canada,CA,Computer and Information Technology,Internet Service Provider (ISP)
45758,29,0.001,Triple T Broadband Public Company Limited,TH,Computer and Information Technology,Internet Service Provider (ISP)
205227,28,0.00097,"IT business solutions, MB",LT,Computer and Information Technology,Hosting and Cloud Provider
51468,27,0.00094,One.com A/S,DK,Computer and Information Technology,None
205745,26,0.0009,CONTRUST SOLUTIONS S.R.L.,MD,None,None
1257,26,0.0009,Tele2 Sverige AB,SE,Computer and Information Technology,Internet Service Provider (ISP)
852,25,0.00087,TELUS Communications Inc.,CA,Computer and Information Technology,Internet Service Provider (ISP)
10881,24,0.00083,FUNPAR - Fundacao da UFPR para o DCTC,BR,Education and Research,None
210403,24,0.00083,Groupe LWS SARL,FR,None,None
212144,24,0.00083,"trafficforce, UAB",LT,Computer and Information Technology,Software Development
16625,23,0.0008,"Akamai Technologies, Inc.",US,Computer and Information Technology,Computer and Network Security
29413,22,0.00076,KOMRO Gesellschaft fuer Telekommunikation mit beschraenkter Haftung,DE,Computer and Information Technology,Internet Service Provider (ISP)
53667,22,0.00076,FranTech Solutions,US,Computer and Information Technology,Hosting and Cloud Provider
9924,21,0.00073,"Taiwan Fixed Network, Telco and Network Service Provider.",TW,Computer and Information Technology,Internet Service Provider (ISP)
11019,21,0.00073,"HAProxy Technologies, Inc.",US,Computer and Information Technology,Computer and Network Security
24547,20,0.00069,China Mobile,CN,Computer and Information Technology,Internet Service Provider (ISP)
4134,20,0.00069,"No.31,Jin-rong Street",CN,Computer and Information Technology,Internet Service Provider (ISP)
9381,20,0.00069,HKBN Enterprise Solutions HK Limited,HK,Computer and Information Technology,Internet Service Provider (ISP)
4651,19,0.00066,CAT Telecom Public Company Limited,TH,Computer and Information Technology,Internet Service Provider (ISP)
58453,19,0.00066,China Mobile International Limited,HK,Computer and Information Technology,Internet Service Provider (ISP)
198066,19,0.00066,"Grupo Loading Systems, S.L.",ES,Computer and Information Technology,Internet Service Provider (ISP)
56040,19,0.00066,China Mobile Communications Corporation,CN,Computer and Information Technology,Internet Service Provider (ISP)
42925,18,0.00062,Internet Rimon LTD,IL,Computer and Information Technology,Internet Service Provider (ISP)
4657,18,0.00062,Starhub Ltd.,SG,Computer and Information Technology,Internet Service Provider (ISP)
203432,17,0.00059,Association FAImaison,FR,Community Groups and Nonprofits,Other
25019,16,0.00055,Saudi Telecom Company JSC,SA,"Media, Publishing, and Broadcasting",Online Music and Video Streaming Services
210107,16,0.00055,PLUSWEB SUNUCU INTERNET HIZMETLERI TICARET LIMITED SIRKETI,TR,Computer and Information Technology,Internet Service Provider (ISP)
55644,16,0.00055,Vodafone Idea Ltd. (VIL),IN,Computer and Information Technology,Internet Service Provider (ISP)
41378,16,0.00055,Kirino LLC,US,Computer and Information Technology,Internet Service Provider (ISP)
1930,16,0.00055,"Fundacao para a Ciencia e a Tecnologia, I.P.",PT,Computer and Information Technology,Internet Service Provider (ISP)
149485,16,0.00055,MonoCloud Pty Ltd,AU,"Media, Publishing, and Broadcasting",Online Informational Content
7679,15,0.00052,"QTnet,Inc.",JP,None,None
211298,15,0.00052,Constantine Cybersecurity Ltd.,GB,Computer and Information Technology,None
9808,15,0.00052,China Mobile,CN,Computer and Information Technology,Internet Service Provider (ISP)
33438,15,0.00052,"StackPath, LLC.",US,Computer and Information Technology,Computer and Network Security
3303,15,0.00052,Swisscom (Schweiz) AG,CH,Computer and Information Technology,Internet Service Provider (ISP)
39122,14,0.00048,Blacknight Internet Solutions Limited,IE,Computer and Information Technology,Software Development
